fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7272727272727273,0.7556360708534622,0.6440677966101694,0.752344697783811,0.059999942779541016,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
2,0.7012987012987013,0.717948717948718,0.6349206349206349,0.7161148740394329,0.05899977684020996,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
3,0.5974025974025974,0.5982456140350878,0.43636363636363634,0.5982430416161187,0.059000253677368164,6,"[np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
4,0.7662337662337663,0.7957692307692308,0.7096774193548387,0.7912988349251161,0.05800032615661621,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
5,0.7532467532467533,0.7617702448210922,0.5957446808510638,0.7616020383267285,0.05899977684020996,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
6,0.6623376623376623,0.6631205673758864,0.6060606060606061,0.6631110857591943,0.06100034713745117,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
7,0.7012987012987013,0.6950354609929077,0.6349206349206349,0.6944562646748169,0.09600019454956055,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
8,0.6578947368421053,0.6846153846153846,0.6060606060606061,0.6793662204867574,0.060724496841430664,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
9,0.6447368421052632,0.6557239057239057,0.5263157894736842,0.655204494255747,0.059000253677368164,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
10,0.6842105263157895,0.7376623376623377,0.6,0.7279217882919358,0.05999922752380371,6,"[np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
