fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.75,0.775,0.7411487018095988,0.7416198487095663,0.1900007724761963,6,"[1, 4, 5, 7, 18, 33]"
2,0.7714285714285715,0.7237762237762237,0.7601731601731603,0.6996502622814412,0.16661453247070312,6,"[1, 3, 5, 7, 8, 33]"
3,0.7142857142857143,0.6916666666666667,0.7052947052947053,0.6733003292241385,0.18900060653686523,6,"[1, 3, 5, 7, 14, 31]"
4,0.6571428571428571,0.6416666666666666,0.653061224489796,0.6324555320336759,0.1510007381439209,6,"[1, 3, 5, 7, 14, 33]"
5,0.6571428571428571,0.6398026315789473,0.640959040959041,0.6069769786668839,0.09407997131347656,6,"[1, 3, 5, 7, 14, 33]"
6,0.7714285714285715,0.69,0.7631257631257632,0.6633249580710799,0.14569830894470215,6,"[1, 3, 5, 7, 14, 33]"
7,0.7142857142857143,0.7416666666666667,0.7086466165413534,0.7164728420068226,0.14400434494018555,6,"[1, 5, 7, 8, 18, 33]"
8,0.9142857142857143,0.9,0.9125138427464009,0.8944271909999159,0.14459228515625,6,"[1, 3, 5, 8, 18, 33]"
9,0.8571428571428571,0.78,0.8485809418106866,0.758946638440411,0.21270251274108887,6,"[1, 5, 7, 8, 14, 31]"
10,0.8285714285714286,0.7976190476190476,0.8217391304347826,0.7824607964359516,0.14300060272216797,6,"[1, 5, 7, 14, 16, 33]"
