fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8611111111111112,0.8333333333333334,0.8546099290780141,0.816496580927726,0.08900046348571777,4,"[1, 3, 5, 8]"
2,0.8857142857142857,0.8461538461538461,0.88008658008658,0.8320502943378437,0.09706592559814453,4,"[1, 5, 7, 8]"
3,0.9428571428571428,0.9090909090909091,0.9411428571428571,0.9045340337332909,0.11199951171875,4,"[1, 5, 7, 8]"
4,0.8285714285714286,0.8095238095238095,0.8258741258741259,0.8039020483873397,0.10111045837402344,4,"[1, 5, 7, 8]"
5,0.7714285714285715,0.7065217391304348,0.7577142857142857,0.6756639246921762,0.11566305160522461,4,"[1, 5, 10, 25]"
6,0.8571428571428571,0.7948717948717949,0.854288885365467,0.7844645405527362,0.10800433158874512,4,"[1, 3, 5, 8]"
7,0.8285714285714286,0.8125,0.8204795204795206,0.7905694150420949,0.15400052070617676,4,"[1, 5, 7, 8]"
8,0.9714285714285714,0.9642857142857143,0.9712316968130921,0.9636241116594315,0.12900018692016602,4,"[1, 3, 5, 8]"
9,0.8571428571428571,0.7727272727272727,0.8428729982559062,0.7385489458759964,0.09500312805175781,4,"[1, 5, 7, 8]"
10,0.9142857142857143,0.8882575757575758,0.9131195335276968,0.8854890790353708,0.0969996452331543,4,"[1, 5, 7, 8]"
