fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7619047619047619,0.759090909090909,0.760815081181214,0.7567874686642695,0.09039664268493652,2,"[2, 12]"
2,0.5238095238095238,0.5181818181818182,0.5171957671957672,0.504524979109513,0.11017775535583496,2,"[12, 48]"
3,0.6190476190476191,0.6136363636363636,0.6137566137566137,0.6030226891555273,0.10937881469726562,2,"[2, 12]"
4,0.8095238095238095,0.8055555555555556,0.8095238095238095,0.8050764858994133,0.09372568130493164,2,"[2, 12]"
5,0.9523809523809523,0.9583333333333333,0.9525988885256621,0.9574271077563381,0.10814666748046875,2,"[2, 12]"
6,0.7619047619047619,0.7500000000000002,0.7596638655462186,0.7453559924999299,0.08767533302307129,2,"[12, 48]"
7,0.5714285714285714,0.5416666666666667,0.5523809523809524,0.5,0.09373903274536133,2,"[2, 12]"
8,0.47619047619047616,0.4444444444444444,0.45291005291005293,0.3849001794597505,0.10936641693115234,2,"[12, 48]"
9,0.5,0.4949494949494949,0.5,0.4923659639173309,0.09374213218688965,2,"[12, 48]"
10,0.8,0.787878787878788,0.7958333333333334,0.7784989441615229,0.11456179618835449,2,"[12, 48]"
