fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7619047619047619,0.7836538461538461,0.7651738040754059,0.7783117824941562,0.25,4,"[11, 21, 43, 51]"
2,0.5238095238095238,0.5432692307692308,0.5281385281385281,0.5370861555295747,0.19800400733947754,4,"[11, 21, 43, 51]"
3,0.6666666666666666,0.7307692307692308,0.6559877955758961,0.6793662204867574,0.2369999885559082,4,"[12, 22, 49, 51]"
4,0.6666666666666666,0.6727272727272727,0.662090007627765,0.6605782590758164,0.31800079345703125,4,"[11, 24, 49, 51]"
5,0.6190476190476191,0.6666666666666667,0.5824175824175823,0.5773502691896257,0.2520003318786621,4,"[9, 12, 22, 43]"
6,0.7619047619047619,0.75,0.7654320987654321,0.7491491772643939,0.28559231758117676,4,"[11, 21, 43, 51]"
7,0.8095238095238095,0.8136363636363636,0.8086580086580087,0.8090398349558905,0.24300050735473633,4,"[12, 21, 44, 49]"
8,0.47619047619047616,0.5288461538461539,0.459409393047837,0.4803844614152614,0.2830038070678711,4,"[3, 12, 21, 49]"
9,0.65,0.6499999999999999,0.6491228070175439,0.648074069840786,0.32100415229797363,4,"[11, 21, 43, 51]"
10,0.5,0.5164835164835165,0.51010101010101,0.5135525910130955,0.3920004367828369,4,"[5, 9, 22, 44]"
