fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9122807017543859,0.8910256410256411,0.8571428571428571,0.8891559427897283,0.3590395450592041,6,"[7, 10, 20, 22, 24, 29]"
2,0.9473684210526315,0.9454094292803971,0.9411764705882353,0.9451456227158638,0.33112454414367676,6,"[14, 17, 22, 24, 27, 28]"
3,0.8421052631578947,0.8376623376623378,0.8,0.8374357893586238,0.25531744956970215,6,"[14, 17, 22, 24, 27, 28]"
4,0.9122807017543859,0.905982905982906,0.8648648648648649,0.9058216273156766,0.19150924682617188,6,"[6, 10, 14, 22, 24, 28]"
5,0.8771929824561403,0.8617647058823529,0.8,0.8609160647753271,0.26526713371276855,6,"[7, 14, 17, 22, 24, 28]"
6,0.8596491228070176,0.853125,0.8333333333333334,0.8514693182963201,0.19447994232177734,6,"[14, 17, 22, 24, 27, 28]"
7,0.8421052631578947,0.8157894736842105,0.7567567567567568,0.8119604537127111,0.2712533473968506,6,"[10, 11, 17, 22, 24, 27]"
8,0.8596491228070176,0.8554590570719602,0.84,0.8541244265211884,0.34508323669433594,6,"[14, 17, 22, 24, 27, 28]"
9,0.9298245614035088,0.9310344827586207,0.9259259259259259,0.9284766908852593,0.28523683547973633,6,"[6, 10, 14, 22, 24, 27]"
10,0.8571428571428571,0.811111111111111,0.7647058823529411,0.7949493345141213,0.3889594078063965,6,"[9, 14, 20, 22, 24, 27]"
