fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8709677419354839,0.8697478991596639,0.8709677419354839,0.8696565534786727,0.056240081787109375,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
2,0.8387096774193549,0.8403361344537814,0.8390467522836822,0.8401680504168059,0.05026674270629883,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
3,0.8387096774193549,0.834033613445378,0.8380269670592251,0.8326327587384307,0.062438249588012695,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
4,0.8333333333333334,0.8257918552036198,0.8323809523809523,0.8238525545716346,0.06337261199951172,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
5,0.7,0.7053571428571428,0.6989988876529478,0.7007648882267351,0.05999183654785156,7,"[2, 3, 7, 9, 11, 12, 13]"
6,0.8666666666666667,0.8616071428571428,0.8654600301659126,0.858258202906994,0.045499324798583984,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
7,0.8666666666666667,0.8705357142857143,0.8666666666666667,0.8685990362153793,0.06325411796569824,9,"[2, 3, 5, 7, 9, 10, 11, 12, 13]"
8,0.7666666666666667,0.7723214285714286,0.7658880237300705,0.7676494735787385,0.10932660102844238,9,"[2, 3, 5, 7, 9, 10, 11, 12, 13]"
9,0.9333333333333333,0.9285714285714286,0.9327300150829563,0.9258200997725514,0.06124544143676758,9,"[2, 3, 5, 7, 9, 10, 11, 12, 13]"
10,0.8,0.7946428571428571,0.7981900452488688,0.7905694150420949,0.04687047004699707,7,"[2, 3, 7, 9, 11, 12, 13]"
