fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9032258064516129,0.905982905982906,0.9036354326676908,0.9058216273156766,0.0839998722076416,3,"[9, 12, 13]"
2,0.8709677419354839,0.9033613445378151,0.8847330367074527,0.0,0.0900418758392334,3,"[9, 12, 13]"
3,0.6129032258064516,0.6346153846153846,0.6104838709677418,0.6201736729460423,0.08800029754638672,3,"[9, 12, 13]"
4,0.8333333333333334,0.843891402714932,0.8338895068594735,0.8401680504168059,0.08000063896179199,3,"[9, 12, 13]"
5,0.8,0.8,0.7991071428571428,0.7972173828734265,0.08284592628479004,3,"[9, 12, 13]"
6,0.8333333333333334,0.868421052631579,0.8361391694725028,0.8583950752789521,0.13100028038024902,3,"[3, 12, 13]"
7,0.8,0.8055555555555556,0.8018099547511313,0.8050764858994133,0.0965883731842041,3,"[9, 12, 13]"
8,0.7666666666666667,0.7916666666666666,0.7679644048943269,0.7817359599705715,0.11100006103515625,3,"[9, 12, 13]"
9,0.6666666666666666,0.7986111111111112,0.7411255411255411,0.0,0.08300065994262695,3,"[9, 12, 13]"
10,0.8333333333333334,0.8348416289592759,0.8338945005611672,0.8347649844031075,0.1760718822479248,3,"[9, 12, 13]"
