fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8387096774193549,0.834033613445378,0.8380269670592251,0.8326327587384307,0.15324831008911133,1,[13]
2,0.7419354838709677,0.745798319327731,0.7424731182795699,0.7447293795329253,0.17185616493225098,1,[13]
3,0.8064516129032258,0.8109243697478992,0.8068548387096776,0.809606191227531,0.15929460525512695,1,[13]
4,0.7333333333333333,0.7194570135746606,0.7296296296296296,0.71188997065329,0.10506319999694824,1,[13]
5,0.7,0.7053571428571428,0.6989988876529478,0.7007648882267351,0.14340710639953613,1,[13]
6,0.8333333333333334,0.8258928571428572,0.8304761904761905,0.8183170883849714,0.14203858375549316,1,[13]
7,0.7666666666666667,0.7589285714285714,0.7626666666666667,0.75,0.1094965934753418,1,[13]
8,0.6666666666666666,0.6651785714285714,0.6666666666666666,0.6648039453209388,0.1491079330444336,1,[13]
9,0.7333333333333333,0.7321428571428572,0.7333333333333333,0.7319250547113999,0.15623688697814941,1,[13]
10,0.8,0.7946428571428571,0.7981900452488688,0.7905694150420949,0.14066338539123535,1,[13]
