fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6774193548387096,0.6901709401709403,0.678763440860215,0.6856277926728687,0.15700006484985352,2,"[12, 13]"
2,0.8387096774193549,0.834033613445378,0.8380269670592251,0.8326327587384307,0.14017319679260254,2,"[9, 13]"
3,0.6774193548387096,0.6754385964912281,0.6808657292528261,0.6753816335059705,0.0840003490447998,2,"[9, 13]"
4,0.7,0.6866028708133971,0.7024676850763807,0.6847623832623259,0.13705039024353027,2,"[9, 13]"
5,0.8,0.8,0.8,0.8,0.1880500316619873,2,"[9, 13]"
6,0.7333333333333333,0.7849999999999999,0.7555555555555554,0.0,0.1270005702972412,2,"[9, 13]"
7,0.6666666666666666,0.6851851851851852,0.6878787878787879,0.0,0.11300039291381836,2,"[9, 13]"
8,0.7333333333333333,0.746606334841629,0.7333333333333333,0.7399400733959437,0.1270899772644043,2,"[9, 13]"
9,0.6666666666666666,0.5714285714285714,0.6534090909090909,0.5194624816493197,0.09702944755554199,2,"[9, 13]"
10,0.7,0.6866028708133971,0.7024676850763807,0.6847623832623259,0.11100244522094727,2,"[9, 13]"
