fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.5844155844155844,0.5884615384615384,0.4838709677419355,0.588348405414552,0.23836255073547363,4,"[2, 6, 7, 8]"
2,0.6493506493506493,0.6598793363499246,0.5714285714285714,0.6590820436573076,0.22106480598449707,4,"[1, 2, 6, 8]"
3,0.5454545454545454,0.5631578947368422,0.4067796610169492,0.5619514869490163,0.21748852729797363,4,"[1, 2, 6, 7]"
4,0.7402597402597403,0.7557692307692309,0.6666666666666666,0.7544738360147218,0.2234358787536621,4,"[1, 2, 6, 7]"
5,0.7402597402597403,0.7271929824561403,0.5833333333333334,0.7266843712634781,0.21289944648742676,4,"[1, 2, 6, 7]"
6,0.6233766233766234,0.6212121212121212,0.5797101449275363,0.6210273191490666,0.22707509994506836,4,"[1, 2, 6, 7]"
7,0.6883116883116883,0.6791666666666668,0.625,0.67700320038633,0.27173686027526855,4,"[2, 6, 7, 8]"
8,0.631578947368421,0.6522435897435898,0.5483870967741935,0.64982739325581,0.21310210227966309,4,"[2, 6, 7, 8]"
9,0.6447368421052632,0.6394230769230769,0.5263157894736842,0.6392603899459485,0.2153174877166748,4,"[1, 2, 6, 8]"
10,0.6710526315789473,0.6810897435897436,0.576271186440678,0.6805446536716203,0.2229321002960205,4,"[1, 2, 6, 8]"
