fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6493506493506493,0.6874074074074075,0.6197183098591549,0.6754970734920295,0.2277379035949707,4,"[2, 6, 7, 8]"
2,0.7662337662337663,0.7780612244897959,0.71875,0.7768516861499707,0.20815372467041016,4,"[1, 2, 6, 7]"
3,0.6493506493506493,0.6676923076923078,0.5714285714285714,0.665640235470275,0.20403647422790527,4,"[1, 2, 6, 7]"
4,0.7922077922077922,0.8,0.6923076923076923,0.7997933617426463,0.21070504188537598,4,"[1, 2, 6, 7]"
5,0.7272727272727273,0.7321428571428571,0.6666666666666666,0.7319250547113999,0.18652796745300293,4,"[1, 2, 6, 7]"
6,0.7012987012987013,0.696969696969697,0.6567164179104478,0.6963106238227914,0.2612779140472412,4,"[1, 2, 6, 7]"
7,0.8441558441558441,0.862962962962963,0.8064516129032258,0.8606629658238705,0.20726370811462402,4,"[1, 2, 6, 7]"
8,0.7142857142857143,0.725877192982456,0.5769230769230769,0.7254762501100116,0.22284626960754395,4,"[1, 2, 6, 7]"
9,0.6973684210526315,0.6992831541218638,0.6567164179104478,0.6992058987801011,0.21043682098388672,4,"[1, 2, 6, 7]"
10,0.7763157894736842,0.8015873015873016,0.7384615384615385,0.7968190728895957,0.21966195106506348,4,"[1, 2, 6, 7]"
