fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7012987012987013,0.7188888888888888,0.7081143575525599,0.7164728420068226,0.16247892379760742,3,"[1, 2, 6]"
2,0.7402597402597403,0.7233333333333333,0.7422475483699973,0.7211102550927979,0.15249037742614746,3,"[1, 2, 6]"
3,0.6623376623376623,0.6462962962962963,0.6669465591879384,0.6440611887195306,0.14252853393554688,3,"[2, 6, 8]"
4,0.7922077922077922,0.788888888888889,0.7950440364233468,0.7888106377466155,0.14551329612731934,3,"[1, 2, 6]"
5,0.7532467532467533,0.7674074074074074,0.7586699015270445,0.7659416862050704,0.1853797435760498,3,"[1, 2, 6]"
6,0.7662337662337663,0.768888888888889,0.7704614534401768,0.7688375063113864,0.15906000137329102,3,"[2, 6, 8]"
7,0.7272727272727273,0.7218518518518519,0.731651934149704,0.7216236836057563,0.1535494327545166,3,"[1, 2, 6]"
8,0.7272727272727273,0.7303703703703703,0.7326570837940484,0.7302967433402214,0.16248226165771484,3,"[1, 2, 6]"
9,0.6447368421052632,0.7207692307692308,0.6431989063568011,0.6793662204867574,0.1504969596862793,3,"[2, 6, 8]"
10,0.6973684210526315,0.7053846153846154,0.704728403606747,0.7049277104236128,0.13572311401367188,3,"[1, 2, 6]"
