fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7272727272727273,0.7556360708534622,0.6440677966101694,0.752344697783811,0.22275972366333008,4,"[1, 2, 6, 8]"
2,0.7142857142857143,0.7277526395173454,0.6451612903225806,0.7265696587939381,0.2094874382019043,4,"[1, 2, 6, 7]"
3,0.6493506493506493,0.6495614035087719,0.49056603773584906,0.6495612554343151,0.2597193717956543,4,"[1, 2, 6, 7]"
4,0.7532467532467533,0.7757692307692308,0.6885245901639344,0.773105625184753,0.20744585990905762,4,"[1, 2, 6, 7]"
5,0.8051948051948052,0.8342749529190208,0.6808510638297872,0.8324854443567847,0.20870757102966309,4,"[1, 2, 6, 7]"
6,0.6623376623376623,0.6631205673758864,0.6060606060606061,0.6631110857591943,0.21840763092041016,4,"[1, 2, 6, 7]"
7,0.7272727272727273,0.7163120567375886,0.6557377049180327,0.7145896010104964,0.21106863021850586,4,"[1, 2, 6, 7]"
8,0.6578947368421053,0.6753846153846154,0.59375,0.6731098893025738,0.2303605079650879,4,"[2, 6, 7, 8]"
9,0.6973684210526315,0.7196969696969697,0.5964912280701754,0.7177405625652734,0.2275221347808838,4,"[1, 2, 6, 7]"
10,0.7105263157894737,0.7558441558441558,0.6206896551724138,0.7490253407188311,0.2772388458251953,4,"[1, 2, 6, 8]"
