fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7142857142857143,0.7463768115942031,0.6333333333333333,0.7421082385212816,0.17123866081237793,5,"[1, 2, 6, 7, 8]"
2,0.7012987012987013,0.717948717948718,0.6349206349206349,0.7161148740394329,0.16808867454528809,5,"[1, 2, 6, 7, 8]"
3,0.6493506493506493,0.6495614035087719,0.49056603773584906,0.6495612554343151,0.16720867156982422,5,"[1, 2, 6, 7, 8]"
4,0.7532467532467533,0.7965384615384616,0.7076923076923077,0.7869121737721239,0.22587370872497559,5,"[1, 2, 6, 7, 8]"
5,0.7662337662337663,0.7702448210922787,0.6086956521739131,0.7702079842374077,0.1814870834350586,5,"[1, 2, 6, 7, 8]"
6,0.6883116883116883,0.6964539007092198,0.6470588235294118,0.6954767740639591,0.1695854663848877,5,"[1, 2, 6, 7, 8]"
7,0.7012987012987013,0.6950354609929077,0.6349206349206349,0.6944562646748169,0.16916394233703613,5,"[1, 2, 6, 7, 8]"
8,0.6710526315789473,0.6946153846153846,0.6153846153846154,0.6905961749988752,0.16745567321777344,5,"[1, 2, 6, 7, 8]"
9,0.6447368421052632,0.6557239057239057,0.5263157894736842,0.655204494255747,0.1678457260131836,5,"[1, 2, 6, 7, 8]"
10,0.7105263157894737,0.7558441558441558,0.6206896551724138,0.7490253407188311,0.22037696838378906,5,"[1, 2, 6, 7, 8]"
