fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6666666666666666,0.7,0.6406926406926406,0.6324555320336759,0.21632599830627441,8,"[1, 3, 4, 5, 7, 9, 14, 33]"
2,0.8,0.7465034965034966,0.7863945578231293,0.7169281790988647,0.1380000114440918,8,"[1, 3, 5, 7, 8, 9, 12, 31]"
3,0.7714285714285715,0.7416666666666667,0.7577639751552795,0.7118052168020874,0.13100051879882812,8,"[1, 3, 5, 7, 8, 9, 14, 31]"
4,0.5714285714285714,0.5416666666666667,0.5523809523809523,0.5,0.13299989700317383,8,"[1, 3, 5, 6, 7, 8, 14, 31]"
5,0.6571428571428571,0.6348684210526316,0.6298136645962732,0.5792463342909246,0.1347827911376953,8,"[1, 3, 5, 7, 12, 14, 31, 33]"
6,0.7428571428571429,0.6699999999999999,0.738611233967271,0.648074069840786,0.14362239837646484,8,"[1, 3, 5, 7, 9, 14, 16, 33]"
7,0.6571428571428571,0.6916666666666667,0.6428571428571429,0.6480740698407861,0.12804698944091797,8,"[1, 3, 5, 7, 8, 12, 14, 33]"
8,0.9142857142857143,0.9,0.9125138427464009,0.8944271909999159,0.10099983215332031,8,"[1, 3, 5, 7, 8, 18, 31, 33]"
9,0.8,0.6799999999999999,0.7757575757575756,0.6196773353931867,0.13399982452392578,8,"[1, 3, 5, 7, 8, 9, 12, 31]"
10,0.8,0.7619047619047619,0.7888991674375578,0.7377111135633174,0.12304306030273438,8,"[1, 3, 5, 7, 8, 14, 16, 33]"
