fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8055555555555556,0.7666666666666666,0.7898550724637681,0.7302967433402214,0.29666662216186523,4,"[1, 3, 5, 8]"
2,0.6571428571428571,0.5952380952380952,0.6160000000000001,0.5084322977157767,0.29750633239746094,4,"[1, 3, 5, 8]"
3,0.8,0.75,0.780952380952381,0.7071067811865476,0.29810452461242676,4,"[1, 3, 5, 8]"
4,0.8285714285714286,0.8083333333333333,0.8231768231768233,0.7958224257542215,0.3145928382873535,4,"[1, 3, 5, 7]"
5,0.7428571428571429,0.7,0.7113702623906706,0.6324555320336759,0.2968416213989258,4,"[1, 3, 5, 8]"
6,0.7428571428571429,0.7083333333333333,0.7228756442447468,0.6658328118479393,0.3303673267364502,4,"[1, 3, 5, 8]"
7,0.7714285714285715,0.7333333333333334,0.7489177489177489,0.6831300510639732,0.18747997283935547,4,"[1, 3, 5, 8]"
8,0.7142857142857143,0.6833333333333333,0.6972049689440993,0.6480740698407861,0.1901547908782959,4,"[1, 3, 5, 8]"
9,0.7142857142857143,0.675,0.6861471861471862,0.6164414002968976,0.2812197208404541,4,"[1, 3, 5, 8]"
10,0.8285714285714286,0.8083333333333333,0.8231768231768233,0.7958224257542215,0.29715394973754883,4,"[1, 3, 5, 8]"
