fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7777777777777778,0.7272727272727273,0.7608080808080808,0.6908492797077574,0.2990264892578125,4,"[1, 3, 5, 8]"
2,0.8,0.7307692307692308,0.7768833849329205,0.6793662204867574,0.18747901916503906,4,"[1, 3, 5, 8]"
3,0.8285714285714286,0.784965034965035,0.82012987012987,0.7664284620319025,0.26838254928588867,4,"[1, 3, 5, 8]"
4,0.7142857142857143,0.6468531468531469,0.6885714285714286,0.5913123959890826,0.2812209129333496,4,"[1, 3, 5, 8]"
5,0.7428571428571429,0.6538461538461539,0.6966228000634216,0.5547001962252291,0.26922178268432617,4,"[1, 3, 5, 8]"
6,0.7428571428571429,0.6695804195804196,0.7131357806280406,0.6059149009001736,0.31322288513183594,4,"[1, 3, 5, 8]"
7,0.9142857142857143,0.9003496503496504,0.9135238095238096,0.8987170342729172,0.1873161792755127,4,"[1, 3, 5, 8]"
8,0.8285714285714286,0.784965034965035,0.82012987012987,0.7664284620319025,0.17183780670166016,4,"[1, 3, 5, 8]"
9,0.7428571428571429,0.6538461538461539,0.6966228000634216,0.5547001962252291,0.17187952995300293,4,"[1, 3, 5, 8]"
10,0.8285714285714286,0.7692307692307692,0.8131428571428572,0.7337993857053428,0.2978780269622803,4,"[1, 3, 5, 8]"
