fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8333333333333334,0.8,0.8229166666666666,0.7745966692414834,0.13200020790100098,9,"[1, 3, 4, 5, 7, 8, 10, 21, 31]"
2,0.8285714285714286,0.7692307692307692,0.8131428571428572,0.7337993857053428,0.12600040435791016,9,"[1, 3, 5, 7, 8, 10, 21, 29, 31]"
3,0.8857142857142857,0.8181818181818181,0.8774114774114774,0.7977240352174656,0.12800359725952148,9,"[1, 3, 4, 5, 7, 8, 10, 21, 31]"
4,0.7714285714285715,0.7261904761904762,0.7545454545454545,0.6900655593423543,0.1249997615814209,9,"[1, 3, 4, 5, 7, 8, 10, 21, 31]"
5,0.8571428571428571,0.8115942028985508,0.8513119533527697,0.7985494095046904,0.12599968910217285,9,"[1, 3, 4, 5, 7, 8, 10, 21, 31]"
6,0.9142857142857143,0.8333333333333334,0.908051948051948,0.816496580927726,0.1269996166229248,9,"[1, 3, 4, 5, 7, 8, 10, 21, 31]"
7,0.8,0.78125,0.7875555555555556,0.75,0.13199901580810547,9,"[1, 3, 4, 5, 7, 8, 10, 21, 31]"
8,0.9714285714285714,0.9642857142857143,0.9712316968130921,0.9636241116594315,0.11700439453125,9,"[1, 3, 4, 5, 7, 8, 10, 21, 31]"
9,0.8571428571428571,0.7727272727272727,0.8428729982559062,0.7385489458759964,0.12000012397766113,9,"[1, 3, 4, 5, 7, 8, 10, 21, 31]"
10,0.9142857142857143,0.8636363636363636,0.9100398053958425,0.8528028654224418,0.12200021743774414,9,"[1, 3, 4, 5, 6, 7, 8, 10, 21]"
