fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8333333333333334,0.8,0.8229166666666666,0.7745966692414834,0.14800024032592773,6,"[1, 3, 5, 8, 10, 21]"
2,0.8285714285714286,0.7692307692307692,0.8131428571428572,0.7337993857053428,0.3190000057220459,6,"[1, 3, 5, 7, 8, 21]"
3,0.8857142857142857,0.8181818181818181,0.8774114774114774,0.7977240352174656,0.2454526424407959,6,"[1, 3, 5, 8, 10, 21]"
4,0.8285714285714286,0.7857142857142857,0.8159090909090908,0.7559289460184544,0.2335817813873291,6,"[1, 3, 5, 8, 10, 21]"
5,0.8571428571428571,0.8115942028985508,0.8513119533527697,0.7985494095046904,0.2421715259552002,6,"[1, 3, 5, 8, 10, 21]"
6,0.9142857142857143,0.8333333333333334,0.908051948051948,0.816496580927726,0.25000452995300293,6,"[1, 3, 5, 8, 10, 21]"
7,0.8285714285714286,0.8125,0.8204795204795206,0.7905694150420949,0.24300003051757812,6,"[1, 3, 5, 8, 10, 21]"
8,0.9428571428571428,0.9285714285714286,0.9419580419580419,0.9258200997725514,0.2460002899169922,6,"[1, 3, 5, 8, 10, 21]"
9,0.8571428571428571,0.7727272727272727,0.8428729982559062,0.7385489458759964,0.22605085372924805,6,"[1, 3, 5, 7, 8, 21]"
10,0.9142857142857143,0.8636363636363636,0.9100398053958425,0.8528028654224418,0.16199946403503418,6,"[1, 3, 5, 8, 10, 21]"
