fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8333333333333334,0.8235294117647058,0.8268398268398269,0.8043996665398437,0.2285902500152588,5,"[1, 3, 5, 8, 9]"
2,0.8285714285714286,0.7976190476190476,0.8217391304347826,0.7824607964359516,0.22989749908447266,5,"[1, 3, 5, 8, 9]"
3,0.8,0.7749999999999999,0.7911111111111111,0.7549834435270749,0.16463828086853027,5,"[1, 3, 5, 7, 8]"
4,0.7142857142857143,0.7072368421052632,0.7119047619047618,0.7024393586862705,0.25507211685180664,5,"[1, 3, 5, 7, 8]"
5,0.7428571428571429,0.7023809523809523,0.7285846438482886,0.6725927091345493,0.27300429344177246,5,"[1, 3, 5, 7, 10]"
6,0.8285714285714286,0.76,0.8223443223443222,0.7429670248402684,0.2460005283355713,5,"[1, 3, 5, 7, 10]"
7,0.8285714285714286,0.8235294117647058,0.8224489795918367,0.8043996665398437,0.2631063461303711,5,"[1, 3, 5, 7, 8]"
8,0.8857142857142857,0.8823529411764706,0.8838095238095238,0.8744746321952062,0.14600014686584473,5,"[1, 3, 5, 8, 9]"
9,0.8285714285714286,0.7272727272727273,0.8059523809523809,0.674199862463242,0.28600001335144043,5,"[1, 3, 5, 8, 9]"
10,0.9142857142857143,0.875,0.9107871720116618,0.8660254037844386,0.24207234382629395,5,"[1, 3, 5, 7, 8]"
