fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6190476190476191,0.6136363636363636,0.6137566137566137,0.6030226891555273,68.80967736244202,3,"[12, 46, 53]"
2,0.47619047619047616,0.5357142857142858,0.47619047619047616,0.5050762722761054,80.3638083934784,3,"[8, 12, 53]"
3,0.5238095238095238,0.5555555555555556,0.503968253968254,0.5091750772173156,78.85465002059937,3,"[12, 38, 48]"
4,0.5714285714285714,0.5576923076923077,0.5754621848739496,0.5547001962252291,68.73280668258667,3,"[12, 20, 48]"
5,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.7627700713964739,82.91871213912964,3,"[12, 38, 48]"
6,0.6190476190476191,0.6136363636363636,0.6137566137566137,0.6030226891555273,76.39752078056335,3,"[12, 46, 53]"
7,0.6666666666666666,0.6346153846153846,0.6617283950617283,0.6201736729460423,99.26621580123901,3,"[12, 38, 48]"
8,0.5714285714285714,0.5818181818181818,0.5512605042016807,0.5393598899705937,82.11847615242004,3,"[12, 38, 48]"
9,0.75,0.7291666666666667,0.7466666666666667,0.7216878364870323,72.87618803977966,3,"[12, 38, 48]"
10,0.7,0.7083333333333334,0.7030303030303029,0.7071067811865476,67.56403279304504,3,"[5, 12, 48]"
