fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7142857142857143,0.7090909090909092,0.7103174603174602,0.7006490497453707,0.2136855125427246,15,"[4, 9, 12, 19, 21, 24, 28, 29, 43, 46, 49, 51, 52, 53, 60]"
2,0.6190476190476191,0.6136363636363636,0.6137566137566137,0.6030226891555273,0.14199519157409668,15,"[4, 9, 12, 21, 22, 26, 28, 29, 44, 46, 49, 51, 52, 53, 60]"
3,0.5714285714285714,0.5636363636363636,0.5593277310924369,0.5393598899705937,0.23427295684814453,15,"[4, 10, 12, 14, 19, 21, 22, 41, 44, 47, 49, 51, 52, 53, 60]"
4,0.8095238095238095,0.8136363636363637,0.8086580086580087,0.8090398349558905,0.15623164176940918,15,"[4, 9, 12, 19, 21, 22, 26, 27, 29, 45, 49, 51, 52, 53, 60]"
5,0.6666666666666666,0.6681818181818181,0.6666666666666666,0.6674238124719146,0.32921862602233887,15,"[4, 5, 9, 12, 19, 23, 26, 28, 41, 43, 47, 49, 51, 53, 60]"
6,0.7619047619047619,0.75,0.7442680776014109,0.7071067811865476,0.1249854564666748,15,"[4, 9, 12, 19, 20, 21, 22, 26, 28, 29, 46, 49, 52, 53, 60]"
7,0.7142857142857143,0.7136363636363636,0.7142857142857143,0.7135060680126757,0.09497642517089844,15,"[4, 5, 9, 12, 19, 21, 26, 29, 45, 46, 47, 49, 51, 53, 60]"
8,0.5238095238095238,0.5227272727272727,0.5238095238095238,0.5222329678670935,0.12574553489685059,15,"[1, 4, 9, 12, 20, 21, 26, 28, 29, 44, 45, 47, 49, 53, 60]"
9,0.65,0.65,0.6491228070175439,0.648074069840786,0.21872711181640625,15,"[4, 5, 9, 12, 19, 21, 26, 28, 29, 44, 46, 49, 51, 53, 60]"
10,0.75,0.7323232323232324,0.74,0.7106690545187014,0.14066720008850098,15,"[1, 4, 9, 12, 20, 22, 28, 29, 41, 44, 47, 49, 52, 53, 60]"
