fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7619047619047619,0.7355769230769231,0.7583774250440916,0.7272180923534245,0.37400031089782715,11,"[4, 11, 12, 20, 22, 27, 29, 45, 49, 52, 59]"
2,0.7142857142857143,0.7211538461538461,0.7182539682539681,0.7205766921228921,0.3416438102722168,11,"[1, 4, 11, 12, 22, 27, 29, 47, 49, 52, 54]"
3,0.7619047619047619,0.7777777777777778,0.7619047619047619,0.769800358919501,0.20200443267822266,11,"[4, 11, 12, 21, 22, 28, 29, 47, 49, 52, 54]"
4,0.8095238095238095,0.8090909090909091,0.8095238095238095,0.8090398349558906,0.22100067138671875,11,"[4, 11, 12, 21, 23, 27, 29, 47, 49, 52, 53]"
5,0.7142857142857143,0.7272727272727273,0.6936813186813188,0.674199862463242,0.2540006637573242,11,"[4, 11, 12, 21, 22, 28, 29, 47, 49, 52, 54]"
6,0.7619047619047619,0.7857142857142858,0.7686274509803921,0.7824607964359516,0.4960000514984131,11,"[1, 4, 12, 21, 23, 28, 29, 45, 49, 51, 59]"
7,0.8095238095238095,0.8136363636363636,0.8086580086580087,0.8090398349558905,0.4179997444152832,11,"[4, 11, 12, 21, 26, 29, 45, 48, 51, 52, 59]"
8,0.7142857142857143,0.7222222222222223,0.7155844155844155,0.7200822998230956,0.28100037574768066,11,"[4, 11, 12, 20, 22, 27, 29, 44, 49, 52, 59]"
9,0.8,0.8080808080808081,0.8,0.8040302522073697,0.3670003414154053,11,"[4, 11, 12, 21, 22, 29, 44, 47, 49, 52, 54]"
10,0.6,0.6041666666666667,0.604040404040404,0.60380736442456,0.34800004959106445,11,"[1, 4, 11, 12, 20, 23, 27, 29, 44, 49, 52]"
