fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8571428571428571,0.8365384615384616,0.855026455026455,0.8320502943378437,0.5540001392364502,3,"[5, 11, 47]"
2,0.7142857142857143,0.7451923076923077,0.7168831168831169,0.7337993857053429,0.5506024360656738,3,"[5, 11, 47]"
3,0.7142857142857143,0.7222222222222223,0.7155844155844155,0.7200822998230956,0.3821699619293213,3,"[12, 21, 47]"
4,0.7619047619047619,0.7545454545454545,0.7551820728291316,0.7385489458759964,0.30700016021728516,3,"[11, 21, 47]"
5,0.6190476190476191,0.6272727272727273,0.6084656084656085,0.6030226891555273,0.3357093334197998,3,"[4, 11, 47]"
6,0.6666666666666666,0.6785714285714286,0.6760784313725491,0.6776309271789385,0.3690528869628906,3,"[9, 12, 47]"
7,0.7142857142857143,0.7227272727272727,0.7063492063492063,0.7006490497453707,0.3580667972564697,3,"[12, 21, 47]"
8,0.6666666666666666,0.6805555555555554,0.6666666666666666,0.6735753140545634,0.3936731815338135,3,"[5, 11, 47]"
9,0.8,0.7979797979797981,0.8,0.7977240352174657,0.3956458568572998,3,"[11, 22, 47]"
10,0.55,0.5625,0.5533834586466165,0.5590169943749475,0.37703967094421387,3,"[5, 11, 47]"
