fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8596491228070176,0.8675213675213674,0.8628733997155049,0.8672581807839879,0.6001496315002441,5,"[4, 22, 23, 26, 27]"
2,0.8245614035087719,0.8421052631578948,0.829004329004329,0.8404589169827007,0.4040036201477051,5,"[4, 22, 23, 26, 28]"
3,0.8947368421052632,0.8947368421052632,0.8959459459459459,0.8947368421052632,0.5079498291015625,5,"[4, 22, 23, 26, 28]"
4,0.8245614035087719,0.8289473684210527,0.828042328042328,0.8288429341065064,0.5068528652191162,5,"[2, 21, 23, 26, 27]"
5,0.8596491228070176,0.8421052631578948,0.8596491228070176,0.8404589169827007,0.47176337242126465,5,"[4, 22, 23, 26, 28]"
6,0.7543859649122807,0.7763157894736843,0.7612958226768968,0.773523076668372,0.48684000968933105,5,"[21, 23, 26, 27, 28]"
7,0.8596491228070176,0.8815789473684209,0.8632034632034632,0.8791206888678982,0.4943392276763916,5,"[4, 22, 23, 26, 28]"
8,0.8245614035087719,0.8026315789473685,0.8245614035087719,0.7999307449247718,0.42937231063842773,5,"[4, 22, 23, 26, 28]"
9,0.8596491228070176,0.868421052631579,0.8624338624338624,0.868022236972139,0.5656216144561768,5,"[21, 23, 26, 27, 28]"
10,0.8571428571428571,0.8654970760233918,0.8603174603174603,0.8651809126974002,0.4384160041809082,5,"[21, 22, 23, 26, 28]"
