fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9473684210526315,0.9455882352941176,0.9477871894927191,0.945577943407535,0.4029996395111084,4,"[2, 8, 21, 29]"
2,0.9473684210526315,0.9454094292803971,0.9472701361246252,0.9451456227158638,0.3750002384185791,4,"[8, 22, 24, 29]"
3,0.9824561403508771,0.9864864864864865,0.9825499264365392,0.9863939238321437,0.438434362411499,4,"[8, 21, 22, 29]"
4,0.9824561403508771,0.9874999999999999,0.9825957298309064,0.9874208829065749,0.45800042152404785,4,"[8, 21, 22, 29]"
5,0.9649122807017544,0.9594017094017093,0.9649122807017544,0.9592851089368166,0.40479087829589844,4,"[8, 21, 22, 29]"
6,0.9473684210526315,0.944375,0.9472362224241924,0.9440603794249602,0.44021010398864746,4,"[8, 22, 24, 29]"
7,0.9473684210526315,0.9455882352941176,0.9477871894927191,0.945577943407535,0.4258842468261719,4,"[8, 21, 22, 29]"
8,0.9824561403508771,0.9807692307692308,0.9824233787082083,0.9805806756909202,0.44260501861572266,4,"[8, 21, 22, 29]"
9,0.9473684210526315,0.9462962962962963,0.9473033031077539,0.9460770203292445,0.3934059143066406,4,"[2, 8, 24, 29]"
10,0.9464285714285714,0.9338549075391182,0.946061776061776,0.9330352433277145,0.4365501403808594,4,"[8, 22, 24, 29]"
