fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9473684210526315,0.9455882352941176,0.9142857142857143,0.945577943407535,0.3311147689819336,5,"[2, 15, 21, 28, 29]"
2,0.9824561403508771,0.9807692307692308,0.9803921568627451,0.9805806756909202,0.38197922706604004,5,"[8, 15, 21, 22, 29]"
3,0.9649122807017544,0.972972972972973,0.9523809523809523,0.9725975251592747,0.40392041206359863,5,"[15, 21, 22, 28, 29]"
4,0.9649122807017544,0.975,0.9444444444444444,0.9746794344808963,0.4557812213897705,5,"[15, 21, 22, 28, 29]"
5,0.9473684210526315,0.9465811965811965,0.918918918918919,0.946578784893997,0.4348468780517578,5,"[15, 21, 22, 28, 29]"
6,0.9473684210526315,0.944375,0.9387755102040817,0.9440603794249602,0.386965274810791,5,"[15, 21, 22, 28, 29]"
7,0.9649122807017544,0.9411764705882353,0.9375,0.9393364366277243,0.35505127906799316,5,"[15, 21, 22, 28, 29]"
8,1.0,1.0,1.0,1.0,0.4228644371032715,5,"[15, 21, 22, 28, 29]"
9,0.9122807017543859,0.912962962962963,0.9090909090909091,0.9128709291752769,0.440840482711792,5,"[15, 21, 22, 28, 29]"
10,0.9821428571428571,0.9864864864864865,0.9743589743589743,0.9863939238321437,0.462799072265625,5,"[2, 15, 21, 28, 29]"
