fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9824561403508771,0.9705882352941176,0.9696969696969697,0.9701425001453319,0.6951124668121338,3,"[22, 24, 25]"
2,0.9473684210526315,0.9454094292803971,0.9411764705882353,0.9451456227158638,0.6273293495178223,3,"[8, 22, 24]"
3,0.9649122807017544,0.9614864864864866,0.95,0.9614178718561063,0.7051143646240234,3,"[8, 22, 24]"
4,1.0,1.0,1.0,1.0,0.6592373847961426,3,"[8, 22, 24]"
5,0.9649122807017544,0.9444444444444444,0.9411764705882353,0.9428090415820634,0.7091035842895508,3,"[22, 24, 25]"
6,0.9298245614035088,0.924375,0.9166666666666666,0.9233092656309694,0.6113653182983398,3,"[22, 24, 25]"
7,0.9824561403508771,0.9874999999999999,0.9714285714285714,0.9874208829065749,0.7709386348724365,3,"[8, 22, 24]"
8,0.9824561403508771,0.9807692307692308,0.9803921568627451,0.9805806756909202,0.7769227027893066,3,"[22, 24, 25]"
9,0.9122807017543859,0.912962962962963,0.9090909090909091,0.9128709291752769,0.6283202171325684,3,"[8, 22, 24]"
10,0.9464285714285714,0.9210526315789473,0.9142857142857143,0.9176629354822471,0.6293346881866455,3,"[22, 24, 25]"
