fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7142857142857143,0.695,0.7191534391534391,0.6928203230275509,0.0998373031616211,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,0.5974025974025974,0.5980769230769231,0.6098928394010361,0.5980738313053897,0.09446430206298828,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
3,0.6623376623376623,0.6876923076923077,0.6730068542568544,0.6838803314120883,0.1405806541442871,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
4,0.6753246753246753,0.7076923076923077,0.6854269326179439,0.7016464154456233,0.09374022483825684,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
5,0.6883116883116883,0.7458521870286576,0.6935909618836448,0.724490771389156,0.09373903274536133,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
6,0.5844155844155844,0.5920060331825038,0.5956709956709957,0.5915442377529367,0.09531879425048828,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
7,0.6883116883116883,0.6610105580693816,0.6909668109668109,0.6556403384430103,0.09374022483825684,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
8,0.618421052631579,0.6137254901960785,0.6290610342148428,0.6135719910778964,0.09373974800109863,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
9,0.7631578947368421,0.7725490196078432,0.7694134455728462,0.7720611577929232,0.09373879432678223,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
10,0.7236842105263158,0.7737254901960784,0.731107619795758,0.7597729278941072,0.1406104564666748,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
