fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7402597402597403,0.7657232704402517,0.7496546007184306,0.7627325916002988,0.15129828453063965,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,0.7272727272727273,0.7397959183673468,0.7323642649485346,0.7383694904132875,0.15527963638305664,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
3,0.6753246753246753,0.6811594202898551,0.6882435705007598,0.6810052246069989,0.19913816452026367,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
4,0.7272727272727273,0.7562893081761007,0.7372722465266093,0.7523547938632787,0.15137958526611328,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
5,0.8051948051948052,0.8090909090909092,0.8119441951537897,0.8090398349558906,0.14987516403198242,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
6,0.7142857142857143,0.7295918367346939,0.7196969696969696,0.727430078392719,0.1495349407196045,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
7,0.7402597402597403,0.7371527777777778,0.7412436048799685,0.7369230323144714,0.14916539192199707,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
8,0.6447368421052632,0.6714520098441346,0.6591368079720108,0.6680325084317192,0.14854884147644043,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
9,0.6447368421052632,0.6557239057239057,0.6609418282548476,0.655204494255747,0.15117335319519043,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
10,0.7368421052631579,0.7733333333333334,0.744691985645933,0.7659416862050705,0.2045750617980957,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
