fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6623376623376623,0.6974074074074075,0.6687693259121831,0.6874537021448008,0.09500002861022949,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,0.7402597402597403,0.75,0.744949494949495,0.7491491772643939,0.1289992332458496,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
3,0.6233766233766234,0.6380769230769232,0.6353329210472068,0.6366982137438548,0.09299945831298828,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
4,0.7792207792207793,0.790909090909091,0.7881294868031277,0.7904387316103331,0.09199953079223633,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
5,0.7272727272727273,0.7397959183673468,0.7323642649485346,0.7383694904132875,0.09200024604797363,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
6,0.7142857142857143,0.7121212121212122,0.7151651358217707,0.7119600075436806,0.09159684181213379,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
7,0.8181818181818182,0.8344444444444444,0.8220068851204896,0.8326663997864531,0.09200000762939453,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
8,0.7402597402597403,0.7271929824561403,0.7521032426692804,0.7266843712634781,0.09200024604797363,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
9,0.7105263157894737,0.7103942652329749,0.7125662994696043,0.7103939035548414,0.13199973106384277,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
10,0.7236842105263158,0.7524565381708239,0.7293609352617715,0.7458628650457607,0.09499955177307129,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
