fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7142857142857143,0.7463768115942031,0.7263424518743669,0.7421082385212816,0.09599995613098145,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,0.7012987012987013,0.717948717948718,0.7093224236081379,0.7161148740394329,0.09599995613098145,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
3,0.6493506493506493,0.6333333333333334,0.6684417809489197,0.6324555320336759,0.09199976921081543,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
4,0.7532467532467533,0.7965384615384616,0.7609244687896374,0.7869121737721239,0.09199976921081543,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
5,0.7662337662337663,0.7702448210922787,0.7808206286467156,0.7702079842374077,0.09399986267089844,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
6,0.6883116883116883,0.6964539007092198,0.6921491641053884,0.6954767740639591,0.13099980354309082,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
7,0.7012987012987013,0.6950354609929077,0.703486989201275,0.6944562646748169,0.09400010108947754,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
8,0.6578947368421053,0.6846153846153846,0.6663328511553726,0.6793662204867574,0.09599995613098145,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
9,0.6447368421052632,0.6557239057239057,0.6609418282548476,0.655204494255747,0.09500002861022949,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
10,0.7105263157894737,0.7558441558441558,0.7258176622774839,0.7490253407188311,0.09399986267089844,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
