fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,1.0,1.0,1.0,1.0,0.19444656372070312,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
2,0.9824561403508771,0.9857142857142857,0.9825239427070089,0.9856107606091623,0.18747878074645996,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
3,0.9298245614035088,0.9246031746031745,0.9298245614035088,0.924390260927361,0.26068973541259766,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
4,0.9298245614035088,0.9047619047619048,0.92797783933518,0.8997354108424374,0.20310282707214355,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
5,0.9649122807017544,0.9523809523809523,0.9645092460881936,0.9511897312113419,0.20494699478149414,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
6,0.9649122807017544,0.9523809523809523,0.9645092460881936,0.9511897312113419,0.21872663497924805,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
7,0.9649122807017544,0.9523809523809523,0.9645092460881936,0.9511897312113419,0.20669174194335938,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
8,0.9649122807017544,0.9722222222222222,0.9652084757347915,0.97182531580755,0.20197033882141113,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
9,0.9473684210526315,0.9285714285714286,0.9463967611336033,0.9258200997725514,0.20310401916503906,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
10,1.0,1.0,1.0,1.0,0.20384597778320312,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
