fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.5806451612903226,0.5735294117647058,0.5788701143539853,0.568796458994521,0.21200013160705566,5,"[2, 9, 11, 12, 13]"
2,0.8064516129032258,0.8309523809523808,0.8123938879456706,0.828078671210825,0.18159127235412598,6,"[1, 2, 3, 9, 11, 13]"
3,0.6333333333333333,0.6428571428571428,0.6271604938271604,0.6267831705280087,0.17658686637878418,6,"[1, 2, 3, 9, 11, 13]"
4,0.7333333333333333,0.7083333333333335,0.7282296650717704,0.6972166887783964,0.20479035377502441,5,"[2, 9, 11, 12, 13]"
5,0.6666666666666666,0.6666666666666667,0.669683257918552,0.6666666666666666,0.17759275436401367,6,"[1, 2, 3, 11, 12, 13]"
6,0.6333333333333333,0.611111111111111,0.6303172737955347,0.6009252125773316,0.17400002479553223,6,"[2, 3, 9, 11, 12, 13]"
7,0.8666666666666667,0.8755980861244019,0.8685185185185186,0.8749572785196141,0.17499995231628418,6,"[2, 3, 5, 11, 12, 13]"
8,0.7,0.7222222222222223,0.7016685205784206,0.7136240321480628,0.2259998321533203,6,"[2, 3, 9, 11, 12, 13]"
9,0.7333333333333333,0.7386363636363636,0.7466666666666667,0.7385489458759964,0.1810002326965332,6,"[3, 4, 9, 11, 12, 13]"
10,0.7,0.7083333333333334,0.7030303030303031,0.7071067811865476,0.1790001392364502,6,"[1, 2, 3, 9, 10, 13]"
