fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7419354838709677,0.745798319327731,0.7424731182795699,0.7447293795329253,0.22791814804077148,3,"[10, 12, 13]"
2,0.8064516129032258,0.8046218487394957,0.8064516129032258,0.8043996665398436,0.2247459888458252,3,"[10, 12, 13]"
3,0.6451612903225806,0.6386554621848739,0.6436593275302952,0.6351073488299558,0.270343542098999,3,"[10, 12, 13]"
4,0.8,0.7873303167420814,0.7972222222222223,0.7815751585783591,0.22974157333374023,3,"[10, 12, 13]"
5,0.7666666666666667,0.7633928571428572,0.7658810325476992,0.7618117502750551,0.2709648609161377,3,"[10, 12, 13]"
6,0.9,0.8973214285714286,0.8996632996632996,0.8964214570007952,0.22898197174072266,3,"[10, 12, 13]"
7,0.8,0.7991071428571428,0.8,0.7989949043284676,0.22362446784973145,3,"[10, 12, 13]"
8,0.6666666666666666,0.6607142857142857,0.6636500754147813,0.6546536707079771,0.271334171295166,3,"[10, 12, 13]"
9,0.8,0.7991071428571428,0.8,0.7989949043284676,0.21375131607055664,3,"[10, 12, 13]"
10,0.6666666666666666,0.6651785714285714,0.6666666666666666,0.6648039453209388,0.23435163497924805,3,"[10, 12, 13]"
