fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8064516129032258,0.8012820512820513,0.8064516129032258,0.8006407690254357,0.22099995613098145,3,"[np.int64(3), np.int64(12), np.int64(13)]"
2,0.8709677419354839,0.8697478991596639,0.8709677419354839,0.8696565534786727,0.24699997901916504,3,"[np.int64(3), np.int64(12), np.int64(13)]"
3,0.6129032258064516,0.6346153846153846,0.6104838709677418,0.6201736729460423,0.21700000762939453,3,"[np.int64(9), np.int64(12), np.int64(13)]"
4,0.8333333333333334,0.8257918552036198,0.8323809523809523,0.8238525545716346,0.2219998836517334,3,"[np.int64(3), np.int64(12), np.int64(13)]"
5,0.8,0.8,0.7991071428571428,0.7972173828734265,0.24699926376342773,3,"[np.int64(3), np.int64(12), np.int64(13)]"
6,0.8333333333333334,0.868421052631579,0.8361391694725028,0.8583950752789521,0.21899986267089844,3,"[np.int64(3), np.int64(12), np.int64(13)]"
7,0.7,0.7037037037037037,0.7022222222222222,0.0,0.247999906539917,3,"[np.int64(3), np.int64(12), np.int64(13)]"
8,0.8,0.8194444444444444,0.8017857142857143,0.8136565842153783,0.21900010108947754,3,"[np.int64(3), np.int64(12), np.int64(13)]"
9,0.8,0.7916666666666667,0.8,0.7905694150420949,0.2480001449584961,3,"[np.int64(9), np.int64(12), np.int64(13)]"
10,0.8666666666666667,0.8733031674208145,0.8672619047619048,0.8718835905527257,0.21799969673156738,3,"[np.int64(3), np.int64(12), np.int64(13)]"
