fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8064516129032258,0.8012820512820513,0.8064516129032258,0.8006407690254357,0.23700284957885742,2,"[np.int64(12), np.int64(13)]"
2,0.8709677419354839,0.8760504201680672,0.8712365591397849,0.8744746321952062,0.2630000114440918,2,"[np.int64(12), np.int64(13)]"
3,0.6774193548387096,0.7115384615384617,0.6884037819799778,0.0,0.2330002784729004,2,"[np.int64(12), np.int64(13)]"
4,0.7666666666666667,0.7669683257918551,0.7674523007856341,0.7669649888473704,0.23299932479858398,2,"[np.int64(12), np.int64(13)]"
5,0.8,0.8,0.7991071428571428,0.7972173828734265,0.2649998664855957,2,"[np.int64(12), np.int64(13)]"
6,0.8,0.8421052631578947,0.8026785714285715,0.8271701918685112,0.2350003719329834,2,"[np.int64(12), np.int64(13)]"
7,0.7,0.6666666666666666,0.6901098901098901,0.6454972243679028,0.26566457748413086,2,"[np.int64(12), np.int64(13)]"
8,0.8,0.8194444444444444,0.8017857142857143,0.8136565842153783,0.23400020599365234,2,"[np.int64(12), np.int64(13)]"
9,0.7,0.7268518518518519,0.702834008097166,0.0,0.2630000114440918,2,"[np.int64(12), np.int64(13)]"
10,0.8333333333333334,0.8348416289592759,0.8338945005611672,0.8347649844031075,0.23399996757507324,2,"[np.int64(12), np.int64(13)]"
