fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6623376623376623,0.49038461538461536,0.0,0.0,0.04390692710876465,6,"[2, 4, 5, 6, 7, 8]"
2,0.6623376623376623,0.5,0.0,0.0,0.035909175872802734,6,"[1, 2, 4, 5, 6, 7]"
3,0.7142857142857143,0.49868421052631584,0.08333333333333333,0.2176428750330035,0.0428617000579834,6,"[1, 2, 4, 5, 6, 7]"
4,0.6753246753246753,0.5,0.0,0.0,0.0359036922454834,6,"[1, 2, 4, 5, 6, 8]"
5,0.7272727272727273,0.49122807017543857,0.0,0.0,0.04289507865905762,6,"[1, 2, 4, 5, 6, 7]"
6,0.5714285714285714,0.5,0.0,0.0,0.030921459197998047,6,"[1, 2, 3, 4, 6, 7]"
7,0.5844155844155844,0.5,0.0,0.0,0.03292107582092285,6,"[1, 2, 4, 5, 6, 7]"
8,0.6842105263157895,0.5,0.0,0.0,0.040884971618652344,6,"[2, 3, 4, 5, 6, 8]"
9,0.6842105263157895,0.5,0.0,0.0,0.03489375114440918,6,"[1, 2, 4, 5, 6, 8]"
10,0.6842105263157895,0.5,0.0,0.0,0.036908864974975586,6,"[1, 2, 3, 4, 5, 6]"
