fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7662337662337663,0.795990566037736,0.7,0.7920596508887684,0.1515941619873047,4,"[1, 2, 6, 8]"
2,0.7142857142857143,0.721938775510204,0.65625,0.7213932098830056,0.14760518074035645,4,"[1, 2, 6, 8]"
3,0.7532467532467533,0.7616747181964573,0.6545454545454545,0.7613869876268811,0.14559721946716309,4,"[1, 2, 6, 8]"
4,0.7272727272727273,0.7448899371069182,0.6440677966101694,0.7434197710411277,0.14863085746765137,4,"[1, 2, 6, 7]"
5,0.7922077922077922,0.8,0.6923076923076923,0.7997933617426463,0.19847464561462402,4,"[1, 2, 6, 8]"
6,0.6883116883116883,0.7015306122448981,0.6363636363636364,0.6998542122237652,0.14959931373596191,4,"[1, 2, 6, 7]"
7,0.7272727272727273,0.7215277777777778,0.676923076923077,0.7207249436813217,0.15358924865722656,4,"[1, 2, 6, 8]"
8,0.631578947368421,0.6374077112387202,0.5172413793103449,0.6372366511986304,0.14763283729553223,4,"[1, 2, 6, 8]"
9,0.631578947368421,0.6195286195286196,0.48148148148148145,0.6188672175811488,0.1545860767364502,4,"[1, 2, 6, 8]"
10,0.7236842105263158,0.7533333333333334,0.6666666666666666,0.7483314773547882,0.14658021926879883,4,"[1, 2, 6, 8]"
