fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7012987012987013,0.6933333333333334,0.6101694915254238,0.6928203230275509,0.023906230926513672,7,"[1, 2, 3, 5, 6, 7, 8]"
2,0.7922077922077922,0.760204081632653,0.6923076923076923,0.7510924987582835,0.024932861328125,7,"[1, 2, 3, 5, 6, 7, 8]"
3,0.7272727272727273,0.6838461538461539,0.5714285714285714,0.672538245981366,0.0249326229095459,7,"[1, 2, 3, 4, 6, 7, 8]"
4,0.8311688311688312,0.759090909090909,0.6666666666666666,0.7402255631208102,0.024923086166381836,7,"[1, 2, 3, 4, 6, 7, 8]"
5,0.8181818181818182,0.7806122448979592,0.72,0.7683612488578245,0.024934053421020508,7,"[1, 2, 3, 4, 6, 7, 8]"
6,0.6753246753246753,0.643939393939394,0.5283018867924528,0.6053025562253994,0.022914409637451172,7,"[1, 2, 3, 4, 6, 7, 8]"
7,0.8571428571428571,0.8133333333333332,0.7659574468085106,0.7999999999999999,0.023970365524291992,7,"[1, 2, 3, 5, 6, 7, 8]"
8,0.7662337662337663,0.6473684210526315,0.47058823529411764,0.5982430416161189,0.02394413948059082,7,"[1, 2, 3, 5, 6, 7, 8]"
9,0.6973684210526315,0.6641577060931899,0.5660377358490566,0.6392199547398645,0.022932052612304688,7,"[1, 2, 3, 4, 6, 7, 8]"
10,0.7894736842105263,0.7369614512471655,0.6521739130434783,0.7142857142857143,0.025910377502441406,7,"[1, 2, 3, 5, 6, 7, 8]"
