fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7142857142857143,0.7338969404186795,0.6206896551724138,0.7322785563281032,0.21143460273742676,2,"[2, 6]"
2,0.6233766233766234,0.6402714932126696,0.5538461538461539,0.6381534447172755,0.2064201831817627,2,"[2, 6]"
3,0.6233766233766234,0.5671052631578948,0.3829787234042553,0.5548826333938603,0.2074449062347412,2,"[1, 2]"
4,0.7142857142857143,0.7261538461538461,0.6333333333333333,0.7253646297923867,0.26132917404174805,2,"[1, 2]"
5,0.7792207792207793,0.8173258003766478,0.6530612244897959,0.814186826424941,0.21040987968444824,2,"[1, 2]"
6,0.6363636363636364,0.6297872340425532,0.5625,0.6290824118118895,0.21339988708496094,2,"[1, 2]"
7,0.6753246753246753,0.6617021276595744,0.5901639344262295,0.6588190595235458,0.20943903923034668,2,"[2, 6]"
8,0.6842105263157895,0.6769230769230768,0.5862068965517241,0.6765296059244619,0.26329517364501953,2,"[2, 8]"
9,0.5921052631578947,0.5917508417508417,0.45614035087719296,0.5917502430657297,0.21041011810302734,2,"[2, 6]"
10,0.7236842105263158,0.7354978354978355,0.6037735849056604,0.7350236324498283,0.20943975448608398,2,"[2, 6]"
