fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6883116883116883,0.7028985507246377,0.5862068965517241,0.7019641181630338,0.4956662654876709,3,"[2, 6, 8]"
2,0.6753246753246753,0.6889140271493213,0.6031746031746031,0.687641388176302,0.4448049068450928,3,"[1, 2, 6]"
3,0.6363636363636364,0.6407894736842105,0.48148148148148145,0.6407232755171874,0.49367499351501465,3,"[1, 2, 6]"
4,0.7532467532467533,0.7861538461538462,0.6984126984126984,0.780532362705589,0.44283628463745117,3,"[1, 2, 6]"
5,0.7402597402597403,0.7919020715630884,0.6153846153846154,0.7859404864306984,0.49866819381713867,3,"[1, 2, 6]"
6,0.6493506493506493,0.6464539007092198,0.5846153846153846,0.6463207380657847,0.44078898429870605,3,"[1, 2, 6]"
7,0.7012987012987013,0.701063829787234,0.6461538461538462,0.7010630226321508,0.4896981716156006,3,"[2, 6, 8]"
8,0.6842105263157895,0.686153846153846,0.6,0.6861262498762387,0.44682741165161133,3,"[2, 6, 8]"
9,0.6710526315789473,0.6877104377104377,0.5614035087719298,0.6865715340592496,0.5076689720153809,3,"[1, 2, 6]"
10,0.6973684210526315,0.732034632034632,0.5964912280701754,0.7279217882919358,0.44278573989868164,3,"[2, 6, 8]"
