fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6944444444444444,0.725,0.6755769402120646,0.6708203932499369,0.6775960922241211,13,"[1, 3, 4, 5, 7, 8, 9, 11, 14, 16, 18, 25, 33]"
2,0.7714285714285715,0.7237762237762237,0.7601731601731603,0.6996502622814412,0.7150001525878906,15,"[1, 3, 4, 5, 7, 8, 9, 11, 12, 14, 16, 18, 25, 31, 33]"
3,0.7428571428571429,0.7166666666666666,0.7314285714285714,0.6928203230275509,0.7169992923736572,10,"[1, 3, 4, 5, 7, 9, 10, 14, 31, 33]"
4,0.6,0.575,0.5874125874125874,0.5477225575051662,0.7105937004089355,12,"[1, 3, 5, 6, 7, 8, 9, 12, 14, 18, 31, 33]"
5,0.6285714285714286,0.6134868421052632,0.6157745785652763,0.5877029324770341,0.7060444355010986,12,"[1, 3, 4, 5, 6, 7, 8, 9, 14, 16, 31, 33]"
6,0.7428571428571429,0.6699999999999999,0.738611233967271,0.648074069840786,0.6716623306274414,10,"[1, 3, 4, 5, 7, 9, 14, 16, 18, 33]"
7,0.7142857142857143,0.7416666666666667,0.7086466165413534,0.7164728420068226,0.7030000686645508,9,"[1, 3, 5, 7, 8, 12, 14, 18, 33]"
8,0.9142857142857143,0.9,0.9125138427464009,0.8944271909999159,0.7086031436920166,10,"[1, 3, 5, 6, 7, 8, 9, 12, 18, 33]"
9,0.8285714285714286,0.76,0.8223443223443222,0.7429670248402684,0.7080001831054688,12,"[1, 3, 4, 5, 6, 7, 8, 9, 12, 14, 31, 33]"
10,0.8,0.7619047619047619,0.7888991674375578,0.7377111135633174,0.7050011157989502,10,"[1, 3, 4, 5, 7, 8, 14, 16, 18, 33]"
