fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7777777777777778,0.75,0.8333333333333334,0.7071067811865476,2.1370811462402344,8,"[1, 3, 4, 5, 7, 8, 9, 21]"
2,0.7142857142857143,0.6833333333333333,0.782608695652174,0.6480740698407861,1.600926399230957,8,"[1, 2, 3, 4, 5, 8, 9, 21]"
3,0.8571428571428571,0.8219696969696969,0.8979591836734694,0.816496580927726,1.5909762382507324,8,"[1, 3, 4, 5, 7, 8, 21, 31]"
4,0.7428571428571429,0.7142857142857143,0.8,0.6998542122237651,1.6051769256591797,8,"[1, 2, 3, 5, 7, 8, 9, 21]"
5,0.8,0.7556818181818181,0.8571428571428571,0.7462025072446364,1.6021864414215088,8,"[1, 2, 3, 4, 5, 8, 9, 21]"
6,0.8285714285714286,0.76,0.8846153846153846,0.7429670248402684,1.6471540927886963,8,"[1, 2, 3, 4, 5, 8, 9, 21]"
7,0.8571428571428571,0.84375,0.8837209302325582,0.82915619758885,1.9932963848114014,8,"[1, 3, 4, 5, 7, 8, 21, 31]"
8,0.9714285714285714,0.9642857142857143,0.9767441860465116,0.9636241116594315,1.6037802696228027,8,"[1, 3, 4, 5, 6, 8, 9, 21]"
9,0.8285714285714286,0.769927536231884,0.88,0.7469745741942986,1.594559907913208,8,"[1, 2, 3, 4, 5, 8, 9, 31]"
10,0.8571428571428571,0.8115942028985508,0.8979591836734694,0.7985494095046904,1.6091454029083252,8,"[1, 3, 4, 5, 7, 8, 9, 21]"
