fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.75,0.725,0.7336170212765958,0.689202437604511,0.9956417083740234,6,"[np.int64(1), np.int64(4), np.int64(5), np.int64(8), np.int64(9), np.int64(21)]"
2,0.7142857142857143,0.6916666666666667,0.7052947052947053,0.6733003292241385,0.9639999866485596,6,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(8), np.int64(9)]"
3,0.8285714285714286,0.7765151515151514,0.8234285714285714,0.7637626158259733,0.9680001735687256,6,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(21)]"
4,0.7142857142857143,0.6785714285714286,0.7028985507246377,0.6546536707079771,0.9966201782226562,6,"[np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(8), np.int64(31)]"
5,0.7428571428571429,0.6893939393939394,0.7393586005830903,0.674199862463242,0.9800658226013184,6,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(8), np.int64(9)]"
6,0.8571428571428571,0.78,0.8485809418106866,0.758946638440411,0.9635944366455078,6,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(8), np.int64(9)]"
7,0.8285714285714286,0.8125,0.8204795204795206,0.7905694150420949,0.9660000801086426,6,"[np.int64(1), np.int64(3), np.int64(4), np.int64(7), np.int64(8), np.int64(31)]"
8,0.9714285714285714,0.9642857142857143,0.9712316968130921,0.9636241116594315,1.000596523284912,6,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(8), np.int64(9)]"
9,0.8,0.7481884057971013,0.7918367346938775,0.7298004491997617,0.9692902565002441,6,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(8), np.int64(9)]"
10,0.8857142857142857,0.8532608695652174,0.8829004329004329,0.8469895538599199,0.9695909023284912,6,"[np.int64(1), np.int64(3), np.int64(4), np.int64(7), np.int64(8), np.int64(21)]"
