fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6666666666666666,0.6590909090909092,0.6572549019607843,0.6396021490668313,0.6069996356964111,22,"[1, 2, 12, 19, 21, 24, 26, 28, 30, 34, 39, 41, 45, 48, 49, 51, 53, 54, 57, 58, 59, 60]"
2,0.6666666666666666,0.6785714285714286,0.6760784313725491,0.6776309271789385,0.6417787075042725,26,"[1, 2, 4, 5, 12, 19, 21, 22, 26, 28, 30, 32, 33, 34, 39, 44, 45, 47, 49, 51, 53, 54, 57, 58, 59, 60]"
3,0.6190476190476191,0.6527777777777777,0.6031746031746033,0.6085806194501846,0.5976006984710693,23,"[1, 2, 4, 12, 13, 18, 19, 21, 22, 26, 28, 30, 34, 38, 39, 45, 49, 51, 53, 54, 57, 59, 60]"
4,0.8095238095238095,0.8221153846153846,0.8121693121693122,0.820412654142367,0.6317763328552246,20,"[1, 2, 5, 12, 19, 21, 23, 26, 28, 30, 34, 39, 45, 48, 49, 51, 53, 57, 58, 59]"
5,0.7142857142857143,0.7272727272727273,0.6936813186813188,0.674199862463242,0.5982058048248291,26,"[1, 2, 4, 5, 10, 12, 19, 21, 22, 23, 26, 28, 30, 34, 39, 44, 45, 47, 49, 51, 52, 53, 54, 58, 59, 60]"
6,0.6666666666666666,0.6590909090909092,0.6572549019607843,0.6396021490668313,0.6289994716644287,22,"[1, 2, 12, 13, 19, 21, 23, 26, 28, 30, 34, 39, 41, 45, 49, 51, 53, 54, 57, 58, 59, 60]"
7,0.7142857142857143,0.7211538461538461,0.7182539682539681,0.7205766921228921,0.6264169216156006,20,"[1, 2, 12, 19, 21, 23, 26, 28, 30, 34, 39, 44, 49, 51, 53, 54, 57, 58, 59, 60]"
8,0.42857142857142855,0.43181818181818177,0.42597402597402595,0.4264014327112209,0.6059997081756592,22,"[1, 2, 12, 19, 21, 22, 23, 26, 28, 30, 34, 38, 39, 45, 49, 51, 53, 54, 57, 58, 59, 60]"
9,0.7,0.7291666666666667,0.7,0.7144345083117604,0.6410000324249268,21,"[1, 2, 4, 12, 19, 21, 22, 28, 30, 35, 39, 43, 44, 48, 49, 51, 53, 54, 57, 59, 60]"
10,0.5,0.5208333333333334,0.5,0.5103103630798288,0.6070108413696289,18,"[1, 5, 12, 19, 21, 23, 26, 28, 30, 34, 39, 44, 49, 51, 52, 53, 58, 59]"
