fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.7740384615384615,0.8027210884353742,0.75955452531275,1.4152908325195312,15,"[1, 4, 12, 21, 24, 28, 29, 39, 43, 47, 49, 52, 53, 54, 59]"
2,0.5238095238095238,0.61875,0.5502645502645503,0.5916079783099616,1.4479622840881348,15,"[1, 4, 5, 11, 12, 21, 26, 27, 30, 47, 49, 51, 52, 54, 59]"
3,0.6190476190476191,0.6090909090909091,0.6007326007326007,0.5720775535473555,1.4058537483215332,15,"[4, 11, 12, 21, 28, 29, 30, 39, 45, 47, 49, 52, 53, 54, 59]"
4,0.7619047619047619,0.7836538461538461,0.7651738040754059,0.7783117824941562,1.3941192626953125,15,"[4, 5, 11, 12, 21, 28, 29, 39, 45, 47, 49, 51, 52, 53, 59]"
5,0.6190476190476191,0.6318181818181818,0.5915750915750916,0.5720775535473553,1.4423537254333496,15,"[2, 4, 11, 12, 21, 22, 28, 29, 39, 41, 47, 49, 53, 54, 59]"
6,0.8095238095238095,0.7857142857142858,0.8095238095238095,0.7824607964359516,1.394941806793213,15,"[1, 12, 21, 28, 29, 34, 39, 45, 47, 49, 51, 52, 54, 56, 59]"
7,0.6666666666666666,0.6590909090909092,0.6572549019607843,0.6396021490668313,1.4290447235107422,15,"[4, 12, 21, 24, 27, 29, 30, 39, 43, 45, 47, 51, 52, 58, 59]"
8,0.5714285714285714,0.5772727272727273,0.5655442955214122,0.5640760748177662,1.3893725872039795,15,"[4, 12, 19, 21, 23, 28, 29, 39, 45, 47, 49, 52, 53, 54, 59]"
9,0.8,0.8080808080808081,0.8,0.8040302522073697,1.4054348468780518,15,"[4, 11, 12, 21, 28, 29, 30, 39, 43, 44, 47, 49, 51, 52, 59]"
10,0.6,0.6041666666666667,0.604040404040404,0.60380736442456,1.4418439865112305,15,"[1, 4, 12, 21, 24, 28, 29, 39, 41, 44, 47, 49, 52, 53, 59]"
