fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8771929824561403,0.8952991452991452,0.8804754954543057,0.8939492710133495,0.5969440937042236,12,"[4, 5, 6, 7, 8, 11, 18, 22, 23, 24, 29, 30]"
2,0.8596491228070176,0.868421052631579,0.8624338624338624,0.868022236972139,0.547896146774292,15,"[2, 4, 6, 8, 10, 11, 18, 21, 22, 23, 24, 26, 28, 29, 30]"
3,0.9122807017543859,0.9078947368421053,0.9128205128205129,0.9077993847715968,0.5958268642425537,14,"[2, 4, 5, 6, 7, 8, 18, 21, 22, 23, 26, 28, 29, 30]"
4,0.7894736842105263,0.7763157894736843,0.7918918918918919,0.7753115717187492,0.5947694778442383,15,"[4, 5, 6, 7, 8, 11, 16, 18, 21, 22, 23, 26, 28, 29, 30]"
5,0.8596491228070176,0.8289473684210525,0.8575498575498576,0.8238145180262383,0.5860066413879395,13,"[2, 4, 5, 6, 7, 8, 18, 21, 22, 23, 28, 29, 30]"
6,0.8596491228070176,0.868421052631579,0.8624338624338624,0.868022236972139,0.5900008678436279,16,"[2, 4, 8, 9, 10, 16, 17, 18, 21, 22, 23, 24, 26, 28, 29, 30]"
7,0.8421052631578947,0.855263157894737,0.8457255158860137,0.8543517410919962,0.5490093231201172,13,"[2, 4, 5, 6, 7, 8, 18, 22, 23, 24, 26, 29, 30]"
8,0.8421052631578947,0.8289473684210527,0.843076923076923,0.8280069853974881,0.596796989440918,14,"[2, 4, 5, 6, 7, 8, 16, 18, 21, 22, 23, 26, 29, 30]"
9,0.8771929824561403,0.8815789473684212,0.8791624902550396,0.8814807486549593,0.5958671569824219,14,"[2, 3, 4, 5, 9, 17, 18, 21, 22, 23, 26, 28, 29, 30]"
10,0.8571428571428571,0.8801169590643275,0.8612244897959184,0.877762972708071,0.5489740371704102,16,"[1, 2, 4, 5, 6, 7, 8, 11, 18, 21, 22, 23, 26, 28, 29, 30]"
