Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,B,tau,n_features
L1SVM,Not noise,0.8382795698924731,0.8384764135073732,0.05679996013641357,8.5,"2, 3, 7, 9, 10, 11, 12, 13",8,0.125,,,
L1SVM,Noise,0.7855913978494623,0.7848206300063885,0.024700069427490236,10.8,"1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13",11,1.0,,,
L1SVM,Outlier,0.785483870967742,0.791390239447515,0.028859329223632813,9.6,"1, 2, 3, 5, 7, 9, 10, 11, 12, 13",10,1.0,,,
L1SVM,Noise + Outlier,0.7349462365591398,0.7380037325935158,0.057382965087890626,11.1,"1, 2, 3, 5, 7, 9, 10, 11, 12, 13",10,2.0,,,
L2SVM,Not noise,0.8381720430107528,0.8367777853381568,0.14701361656188966,9.5,"1, 2, 3, 4, 7, 9, 10, 11, 12, 13",10,0.125,,,
L2SVM,Noise,0.7855913978494623,0.7848206300063885,0.1921456575393677,10.9,"1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13",11,0.25,,,
L2SVM,Outlier,0.7887096774193548,0.7952363932936689,0.09160830974578857,9.8,"1, 2, 3, 5, 7, 9, 10, 11, 12, 13",10,0.125,,,
L2SVM,Noise + Outlier,0.7316129032258065,0.7357310053207885,0.11863796710968018,10.9,"1, 2, 3, 5, 7, 9, 10, 11, 12, 13",10,0.5,,,
MILP1,Not noise,0.8380645161290323,0.8374080374389973,0.09134175777435302,7.0,"2, 3, 9, 10, 11, 12, 13",7,0.125,7.0,,
MILP1,Noise,0.8086021505376344,0.8075698201007798,0.08221313953399659,4.0,"3, 10, 12, 13",4,0.125,4.0,,
MILP1,Outlier,0.785483870967742,0.7927791283364038,0.08616418838500976,6.9,"2, 3, 7, 9, 11, 12, 13",7,0.125,7.0,,
MILP1,Noise + Outlier,0.7349462365591398,0.7393024338922172,0.05230414867401123,10.7,"1, 2, 3, 5, 7, 9, 10, 11, 12, 13",10,0.125,11.0,,
PinFSSVM,Not noise,0.8448387096774195,0.8451003451313047,0.0930694580078125,7.0,"2, 3, 7, 9, 11, 12, 13",7,0.25,7.0,0.5,
PinFSSVM,Noise,0.8020430107526881,0.802581529237876,0.11536052227020263,4.0,"3, 10, 12, 13",4,0.25,4.0,0.1,
PinFSSVM,Outlier,0.795483870967742,0.8006457500188151,0.10770223140716553,6.0,"2, 3, 9, 11, 12, 13",6,0.25,6.0,0.1,
PinFSSVM,Noise + Outlier,0.7316129032258065,0.7355731770379602,0.06448907852172851,11.0,"1, 2, 3, 5, 7, 9, 10, 11, 12, 13",10,32.0,12.0,0.1,
PinballSVM,Not noise,0.8413978494623656,0.8397019037034517,0.07960593700408936,9.0,"2, 3, 5, 7, 9, 10, 11, 12, 13",9,0.125,,0.5,
PinballSVM,Noise,0.782258064516129,0.7806539633397219,0.06862208843231202,11.0,"1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13",11,0.5,,0.1,
PinballSVM,Outlier,0.785483870967742,0.7930111185683941,0.07474498748779297,9.0,"1, 2, 3, 5, 7, 9, 10, 11, 12, 13",10,0.125,,0.1,
PinballSVM,Noise + Outlier,0.7348387096774194,0.740691322781106,0.07911622524261475,11.0,"1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13",11,0.125,,0.1,
FisherSVM,Not noise,0.8448387096774195,0.8440319690629288,0.31550006866455077,6.8,"2, 3, 7, 9, 10, 11, 12, 13",8,0.125,,,
FisherSVM,Noise,0.7989247311827957,0.799866597111179,0.2888732671737671,6.7,"3, 9, 10, 11, 12, 13",6,8.0,,,
FisherSVM,Outlier,0.7920430107526881,0.798145750018815,0.2929613351821899,7.0,"3, 9, 10, 11, 12, 13",6,0.25,,,
FisherSVM,Noise + Outlier,0.741505376344086,0.7481723833871665,0.29139299392700196,8.4,"1, 2, 3, 7, 9, 10, 11, 12, 13",9,2.0,,,
RFESVM,Not noise,0.8382795698924731,0.8384764135073732,0.024100065231323242,8.5,"2, 3, 7, 9, 10, 11, 12, 13",8,0.125,,,13.0
RFESVM,Noise,0.7855913978494623,0.7848206300063885,0.027299714088439942,10.8,"1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13",11,1.0,,,13.0
RFESVM,Outlier,0.785483870967742,0.791390239447515,0.03209984302520752,9.6,"1, 2, 3, 5, 7, 9, 10, 11, 12, 13",10,1.0,,,13.0
RFESVM,Noise + Outlier,0.7349462365591398,0.7380037325935158,0.028999757766723634,11.1,"1, 2, 3, 5, 7, 9, 10, 11, 12, 13",10,2.0,,,13.0
