Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,B,tau,n_features
L1SVM,Not noise,0.7291866028708134,0.7417951459971833,0.05549979209899902,4.9,"1, 2, 6, 7, 8",5,8.0,,,
L1SVM,Noise,0.718215994531784,0.7367536966862881,0.0561586856842041,5.2,"1, 2, 5, 6, 7, 8",6,0.5,,,
L1SVM,Outlier,0.690892002734108,0.7087438956709435,0.05899968147277832,5.1,"1, 2, 5, 6, 7, 8",6,0.25,,,
L1SVM,Noise + Outlier,0.6609876965140123,0.6733226151428552,0.05617399215698242,5.8,"1, 2, 5, 6, 7, 8",6,0.125,,,
L2SVM,Not noise,0.7318010936431989,0.7446296729070195,0.06654889583587646,4.9,"1, 2, 6, 7, 8",5,0.25,,,
L2SVM,Noise,0.7194976076555023,0.7387988221751026,0.05874564647674561,5.3,"1, 2, 5, 6, 7, 8",6,0.5,,,
L2SVM,Outlier,0.6948222829801777,0.7135515879786357,0.055899977684020996,5.5,"1, 2, 5, 6, 7, 8",6,0.125,,,
L2SVM,Noise + Outlier,0.6571086807928913,0.6712721318928749,0.05689992904663086,5.9,"1, 2, 5, 6, 7, 8",6,1.0,,,
MILP1,Not noise,0.7395591250854407,0.7517661340734345,0.09148774147033692,4.0,"1, 2, 6, 7",4,0.125,4.0,,
MILP1,Noise,0.7169002050580999,0.7358103004598731,0.07973499298095703,5.0,"1, 2, 6, 7, 8",5,0.125,5.0,,
MILP1,Outlier,0.7039302802460699,0.720341443090411,0.10677094459533691,4.0,"1, 2, 6, 8",4,0.125,4.0,,
MILP1,Noise + Outlier,0.6584073820915927,0.6710672170321939,0.11679608821868896,5.0,"1, 2, 6, 7, 8",5,0.125,5.0,,
PinFSSVM,Not noise,0.7330314422419686,0.7469348015240568,0.1248054027557373,5.0,"1, 2, 6, 7, 8",5,0.125,5.0,1.0,
PinFSSVM,Noise,0.7221291866028708,0.7381511749627389,0.14464902877807617,5.0,"1, 2, 6, 7, 8",5,0.5,5.0,0.5,
PinFSSVM,Outlier,0.7091592617908407,0.727352025100993,0.15001535415649414,4.0,"1, 2, 6, 8",4,0.5,4.0,0.1,
PinFSSVM,Noise + Outlier,0.668814080656186,0.6834441263071295,0.15263400077819825,5.0,"1, 2, 6, 7, 8",5,2.0,5.0,0.1,
PinballSVM,Not noise,0.7317327409432673,0.7458889175834361,0.10099978446960449,5.1,"1, 2, 6, 7, 8",5,0.125,,1.0,
PinballSVM,Noise,0.7208304853041695,0.7407277742400148,0.10016984939575195,5.4,"1, 2, 5, 6, 7, 8",6,0.125,,0.1,
PinballSVM,Outlier,0.6974025974025974,0.7187541329969703,0.09752852916717529,5.0,"1, 2, 6, 7, 8",5,0.25,,1.0,
PinballSVM,Noise + Outlier,0.664917976760082,0.6799154181731581,0.10563628673553467,5.8,"1, 2, 5, 6, 7, 8",6,0.125,,0.5,
FisherSVM,Not noise,0.7278537252221463,0.740086854822848,0.5855458021163941,4.0,"1, 2, 6, 7, 8",5,16.0,,,
FisherSVM,Noise,0.7181989063568012,0.7387370166008747,0.5871733665466309,5.0,"1, 2, 5, 6, 7, 8",6,8.0,,,
FisherSVM,Outlier,0.6934894053315105,0.7075015630669371,0.5890535831451416,4.3,"1, 2, 5, 6, 7, 8",6,4.0,,,
FisherSVM,Noise + Outlier,0.6648667122351333,0.6773638563234152,0.5852380752563476,4.2,"1, 2, 5, 6, 7, 8",6,8.0,,,
RFESVM,Not noise,0.7291866028708134,0.7417951459971833,0.05324034690856934,4.9,"1, 2, 6, 7, 8",5,8.0,,,8.0
RFESVM,Noise,0.718215994531784,0.7367536966862881,0.06016182899475098,5.2,"1, 2, 5, 6, 7, 8",6,0.5,,,8.0
RFESVM,Outlier,0.690892002734108,0.7087438956709435,0.05760262012481689,5.1,"1, 2, 5, 6, 7, 8",6,0.25,,,8.0
RFESVM,Noise + Outlier,0.6609876965140123,0.6733226151428552,0.050839781761169434,5.8,"1, 2, 5, 6, 7, 8",6,0.125,,,8.0
