Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,B,tau,n_features
L1SVM,Not noise,0.8803174603174604,0.8495495718050066,0.04700009822845459,11.9,"1, 3, 4, 5, 6, 7, 8, 10, 15, 18, 21, 25, 31",13,0.25,,,
L1SVM,Noise,0.832063492063492,0.7982268492377188,0.04907383918762207,14.9,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 18, 21, 23, 26, 31",16,1.0,,,
L1SVM,Outlier,0.8348412698412699,0.810080074197351,0.04911789894104004,12.6,"1, 3, 4, 5, 7, 8, 9, 10, 15, 16, 18, 31",12,0.5,,,
L1SVM,Noise + Outlier,0.7522222222222222,0.7291089677865993,0.04945926666259766,13.2,"1, 3, 4, 5, 7, 8, 9, 11, 14, 15, 16, 18, 25, 33",14,2.0,,,
L2SVM,Not noise,0.8831746031746033,0.8543926453980802,0.0694366455078125,15.0,"1, 3, 4, 5, 6, 7, 8, 9, 10, 15, 16, 21, 25, 30, 31",15,0.125,,,
L2SVM,Noise,0.834920634920635,0.8023935159043856,0.0636138916015625,15.4,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 18, 21, 23, 26, 31",16,0.25,,,
L2SVM,Outlier,0.8348412698412699,0.8099432431491422,0.0623572826385498,13.5,"1, 3, 4, 5, 7, 8, 9, 10, 15, 16, 18, 31, 33",13,0.25,,,
L2SVM,Noise + Outlier,0.755079365079365,0.7329551216327531,0.06707262992858887,14.2,"1, 3, 4, 5, 7, 8, 10, 11, 12, 14, 15, 16, 18, 31, 33",15,0.25,,,
MILP1,Not noise,0.8803174603174602,0.844513243399113,0.10850791931152344,2.0,"1, 5",2,0.125,2.0,,
MILP1,Noise,0.8291269841269842,0.7925595560046361,0.13534603118896485,10.0,"1, 2, 3, 4, 5, 8, 9, 10, 21, 26",10,0.125,10.0,,
MILP1,Outlier,0.8433333333333334,0.8188368005721115,0.07349724769592285,11.0,"1, 3, 4, 5, 7, 8, 9, 10, 15, 18, 31",11,0.125,11.0,,
MILP1,Noise + Outlier,0.7778571428571428,0.7511930503706818,0.11428837776184082,2.0,"1, 5",2,0.125,2.0,,
PinFSSVM,Not noise,0.8860317460317461,0.8548723740028088,0.13574612140655518,11.8,"1, 3, 4, 5, 6, 7, 8, 10, 15, 21, 25, 31",12,2.0,12.0,0.1,
PinFSSVM,Noise,0.8348412698412699,0.8023922219085262,0.13025691509246826,13.7,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 18, 21, 26, 31",14,1.0,14.0,0.1,
PinFSSVM,Outlier,0.8319841269841272,0.8047905720328489,0.13056035041809083,11.9,"1, 3, 4, 5, 7, 8, 9, 10, 15, 18, 31, 33",12,2.0,12.0,0.1,
PinFSSVM,Noise + Outlier,0.775,0.7454178694112905,0.17909574508666992,2.0,"1, 5",2,0.5,2.0,0.1,
PinballSVM,Not noise,0.8831746031746031,0.8503269194573543,0.12095577716827392,13.2,"1, 3, 4, 5, 6, 7, 8, 9, 10, 15, 21, 25, 31",13,2.0,,0.1,
PinballSVM,Noise,0.8291269841269842,0.7964398409561454,0.12190165519714355,14.4,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 18, 21, 26, 31",14,0.5,,0.1,
PinballSVM,Outlier,0.8319841269841272,0.8047905720328489,0.12628533840179443,12.9,"1, 3, 4, 5, 7, 8, 9, 10, 15, 16, 18, 31, 33",13,1.0,,0.1,
PinballSVM,Noise + Outlier,0.7551587301587301,0.7227860012794223,0.12008163928985596,15.4,"1, 3, 4, 5, 7, 8, 9, 10, 12, 14, 16, 18, 21, 23, 25, 31, 33",17,0.25,,0.5,
FisherSVM,Not noise,0.8774603174603175,0.8447172061030755,0.43361012935638427,7.4,"1, 3, 5, 7, 8, 29, 31",7,0.5,,,
FisherSVM,Noise,0.8376190476190477,0.804149468285338,0.4373992204666138,8.0,"1, 3, 5, 31",4,4.0,,,
FisherSVM,Outlier,0.8433333333333334,0.8173922925629581,0.43718411922454836,8.8,"1, 3, 5, 7, 31",5,8.0,,,
FisherSVM,Noise + Outlier,0.7723015873015873,0.7527576108102423,0.4406981229782104,9.3,"1, 3, 5, 7, 12, 14, 15, 16, 18, 33",10,1.0,,,
RFESVM,Not noise,0.8803174603174604,0.8495495718050066,0.04414043426513672,11.9,"1, 3, 4, 5, 6, 7, 8, 10, 15, 18, 21, 25, 31",13,0.25,,,34.0
RFESVM,Noise,0.832063492063492,0.7982268492377188,0.04426250457763672,14.9,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 18, 21, 23, 26, 31",16,1.0,,,34.0
RFESVM,Outlier,0.8348412698412699,0.810080074197351,0.043536710739135745,12.6,"1, 3, 4, 5, 7, 8, 9, 10, 15, 16, 18, 31",12,0.5,,,34.0
RFESVM,Noise + Outlier,0.7522222222222222,0.7291089677865993,0.04598104953765869,13.2,"1, 3, 4, 5, 7, 8, 9, 11, 14, 15, 16, 18, 25, 33",14,2.0,,,34.0
