Model,Dataset,Dataset_Type,Fold,AUC,Best_C,Best_tau,Best_B
PinFSSVM,diabetes,outlier,1,0.7556360708534622,0.5,0.1,4.0
PinFSSVM,diabetes,outlier,2,0.7371794871794872,0.5,0.1,4.0
PinFSSVM,diabetes,outlier,3,0.6495614035087719,0.5,0.1,4.0
PinFSSVM,diabetes,outlier,4,0.7757692307692308,0.5,0.1,4.0
PinFSSVM,diabetes,outlier,5,0.8342749529190208,0.5,0.1,4.0
PinFSSVM,diabetes,outlier,6,0.6631205673758864,0.5,0.1,4.0
PinFSSVM,diabetes,outlier,7,0.7163120567375886,0.5,0.1,4.0
PinFSSVM,diabetes,outlier,8,0.6753846153846154,0.5,0.1,4.0
PinFSSVM,diabetes,outlier,9,0.7104377104377104,0.5,0.1,4.0
PinFSSVM,diabetes,outlier,10,0.7558441558441558,0.5,0.1,4.0
PinFSSVM,diabetes,original,1,0.715925925925926,0.125,1.0,5.0
PinFSSVM,diabetes,original,2,0.7780612244897959,0.125,1.0,5.0
PinFSSVM,diabetes,original,3,0.666923076923077,0.125,1.0,5.0
PinFSSVM,diabetes,original,4,0.7818181818181819,0.125,1.0,5.0
PinFSSVM,diabetes,original,5,0.7678571428571428,0.125,1.0,5.0
PinFSSVM,diabetes,original,6,0.7121212121212122,0.125,1.0,5.0
PinFSSVM,diabetes,original,7,0.8344444444444444,0.125,1.0,5.0
PinFSSVM,diabetes,original,8,0.7434210526315791,0.125,1.0,5.0
PinFSSVM,diabetes,original,9,0.7265232974910394,0.125,1.0,5.0
PinFSSVM,diabetes,original,10,0.742252456538171,0.125,1.0,5.0
PinFSSVM,diabetes,noise,1,0.795990566037736,0.5,0.5,5.0
PinFSSVM,diabetes,noise,2,0.7397959183673468,0.5,0.5,5.0
PinFSSVM,diabetes,noise,3,0.6686795491143317,0.5,0.5,5.0
PinFSSVM,diabetes,noise,4,0.7979559748427673,0.5,0.5,5.0
PinFSSVM,diabetes,noise,5,0.8090909090909092,0.5,0.5,5.0
PinFSSVM,diabetes,noise,6,0.7193877551020409,0.5,0.5,5.0
PinFSSVM,diabetes,noise,7,0.7527777777777778,0.5,0.5,5.0
PinFSSVM,diabetes,noise,8,0.6497128794093519,0.5,0.5,5.0
PinFSSVM,diabetes,noise,9,0.6649831649831649,0.5,0.5,5.0
PinFSSVM,diabetes,noise,10,0.7831372549019607,0.5,0.5,5.0
PinFSSVM,diabetes,both,1,0.6380769230769232,2.0,0.1,5.0
PinFSSVM,diabetes,both,2,0.6889140271493213,2.0,0.1,5.0
PinFSSVM,diabetes,both,3,0.5969298245614035,2.0,0.1,5.0
PinFSSVM,diabetes,both,4,0.7861538461538462,2.0,0.1,5.0
PinFSSVM,diabetes,both,5,0.7021929824561404,2.0,0.1,5.0
PinFSSVM,diabetes,both,6,0.662878787878788,2.0,0.1,5.0
PinFSSVM,diabetes,both,7,0.6791666666666668,2.0,0.1,5.0
