Model,Dataset,Dataset_Type,Fold,AUC,Best_C,Best_tau,Best_B
PinFSSVM,wdbc,outlier,1,0.9321646341463415,0.125,0.5,5.0
PinFSSVM,wdbc,outlier,2,0.9305555555555556,0.125,0.5,5.0
PinFSSVM,wdbc,outlier,3,0.9268292682926829,0.125,0.5,5.0
PinFSSVM,wdbc,outlier,4,0.9534883720930233,0.125,0.5,5.0
PinFSSVM,wdbc,outlier,5,0.919969512195122,0.125,0.5,5.0
PinFSSVM,wdbc,outlier,6,0.869047619047619,0.125,0.5,5.0
PinFSSVM,wdbc,outlier,7,0.9428571428571428,0.125,0.5,5.0
PinFSSVM,wdbc,outlier,8,0.984375,0.125,0.5,5.0
PinFSSVM,wdbc,outlier,9,0.8688311688311688,0.125,0.5,5.0
PinFSSVM,wdbc,outlier,10,0.986842105263158,0.125,0.5,5.0
PinFSSVM,wdbc,original,1,0.9455882352941176,0.125,0.1,5.0
PinFSSVM,wdbc,original,2,1.0,0.125,0.1,5.0
PinFSSVM,wdbc,original,3,1.0,0.125,0.1,5.0
PinFSSVM,wdbc,original,4,0.9874999999999999,0.125,0.1,5.0
PinFSSVM,wdbc,original,5,0.9722222222222222,0.125,0.1,5.0
PinFSSVM,wdbc,original,6,0.944375,0.125,0.1,5.0
PinFSSVM,wdbc,original,7,0.9705882352941176,0.125,0.1,5.0
PinFSSVM,wdbc,original,8,1.0,0.125,0.1,5.0
PinFSSVM,wdbc,original,9,0.962962962962963,0.125,0.1,5.0
PinFSSVM,wdbc,original,10,0.9473684210526316,0.125,0.1,5.0
PinFSSVM,wdbc,noise,1,0.8782051282051283,0.5,1.0,14.0
PinFSSVM,wdbc,noise,2,0.9838709677419355,0.5,1.0,14.0
PinFSSVM,wdbc,noise,3,0.8746753246753247,0.5,1.0,14.0
PinFSSVM,wdbc,noise,4,0.9209401709401709,0.5,1.0,14.0
PinFSSVM,wdbc,noise,5,0.9375,0.5,1.0,14.0
PinFSSVM,wdbc,noise,6,0.8574999999999999,0.5,1.0,14.0
PinFSSVM,wdbc,noise,7,0.881578947368421,0.5,1.0,14.0
PinFSSVM,wdbc,noise,8,0.8455334987593052,0.5,1.0,14.0
PinFSSVM,wdbc,noise,9,0.9131773399014779,0.5,1.0,14.0
PinFSSVM,wdbc,noise,10,0.9222222222222222,0.5,1.0,14.0
PinFSSVM,wdbc,both,1,0.8643292682926829,4.0,1.0,10.0
PinFSSVM,wdbc,both,2,0.9054054054054054,4.0,1.0,10.0
PinFSSVM,wdbc,both,3,0.8952991452991452,4.0,1.0,10.0
PinFSSVM,wdbc,both,4,0.7948529411764705,4.0,1.0,10.0
PinFSSVM,wdbc,both,5,0.8661764705882352,4.0,1.0,10.0
PinFSSVM,wdbc,both,6,0.8248081841432225,4.0,1.0,10.0
PinFSSVM,wdbc,both,7,0.9204545454545455,4.0,1.0,10.0
PinFSSVM,wdbc,both,8,0.8262499999999999,4.0,1.0,10.0
PinFSSVM,wdbc,both,9,0.8612531969309462,4.0,1.0,10.0
PinFSSVM,wdbc,both,10,0.9187500000000001,4.0,1.0,10.0
L1SVM,wdbc,outlier,1,0.9321646341463415,0.25,,
L1SVM,wdbc,outlier,2,0.9166666666666667,0.25,,
L1SVM,wdbc,outlier,3,0.9268292682926829,0.25,,
L1SVM,wdbc,outlier,4,0.9534883720930233,0.25,,
L1SVM,wdbc,outlier,5,0.9321646341463415,0.25,,
L1SVM,wdbc,outlier,6,0.8829365079365079,0.25,,
L1SVM,wdbc,outlier,7,0.9095238095238095,0.25,,
L1SVM,wdbc,outlier,8,0.984375,0.25,,
L1SVM,wdbc,outlier,9,0.8545454545454546,0.25,,
L1SVM,wdbc,outlier,10,0.9736842105263158,0.25,,
L1SVM,wdbc,original,1,0.9580882352941176,2.0,,
L1SVM,wdbc,original,2,0.9838709677419355,2.0,,
L1SVM,wdbc,original,3,0.9864864864864865,2.0,,
L1SVM,wdbc,original,4,0.9874999999999999,2.0,,
L1SVM,wdbc,original,5,0.9722222222222222,2.0,,
L1SVM,wdbc,original,6,0.944375,2.0,,
L1SVM,wdbc,original,7,1.0,2.0,,
L1SVM,wdbc,original,8,1.0,2.0,,
L1SVM,wdbc,original,9,0.962962962962963,2.0,,
L1SVM,wdbc,original,10,0.9338549075391182,2.0,,
L1SVM,wdbc,noise,1,0.9038461538461539,16.0,,
L1SVM,wdbc,noise,2,0.9454094292803971,16.0,,
L1SVM,wdbc,noise,3,0.851948051948052,16.0,,
L1SVM,wdbc,noise,4,0.8931623931623932,16.0,,
L1SVM,wdbc,noise,5,0.8911764705882352,16.0,,
L1SVM,wdbc,noise,6,0.873125,16.0,,
L1SVM,wdbc,noise,7,0.8157894736842105,16.0,,
L1SVM,wdbc,noise,8,0.8746898263027295,16.0,,
L1SVM,wdbc,noise,9,0.9310344827586207,16.0,,
L1SVM,wdbc,noise,10,0.8861111111111111,16.0,,
L1SVM,wdbc,both,1,0.8696646341463414,0.125,,
L1SVM,wdbc,both,2,0.8804054054054054,0.125,,
L1SVM,wdbc,both,3,0.9615384615384616,0.125,,
L1SVM,wdbc,both,4,0.7948529411764705,0.125,,
L1SVM,wdbc,both,5,0.8367647058823529,0.125,,
L1SVM,wdbc,both,6,0.7736572890025575,0.125,,
L1SVM,wdbc,both,7,0.9204545454545455,0.125,,
L1SVM,wdbc,both,8,0.8175,0.125,,
L1SVM,wdbc,both,9,0.8318414322250639,0.125,,
L1SVM,wdbc,both,10,0.9187500000000001,0.125,,
